sr_number,sr_type,owner_department,created_date,closed_date,days_to_close,sla_days,excess_days,ward
SR18-00256977,Alley Light Out Complaint,CDOT - Department of Transportation,2018-12-31 14:49:23,2019-11-15 15:56:17,319.0464583333333,10.0,309.0464583333333,21.0
SR19-01198037,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2019-03-21 10:52:41,2020-02-03 09:39:37,318.94925925925924,10.0,308.94925925925924,6.0
SR25-00427735,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-03-17 15:28:55,2026-01-30 12:06:14,318.8592476851852,10.0,308.8592476851852,2.0
SR25-00428091,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-03-17 16:07:33,2026-01-30 08:45:34,318.69306712962964,10.0,308.69306712962964,43.0
SR19-03095014,Check for Leak,DWM - Department of Water Management,2019-12-07 17:04:00,2020-10-21 08:09:16,318.6286574074074,10.0,308.6286574074074,6.0
SR25-00502055,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-03-29 19:49:23,2026-02-11 10:02:43,318.5925925925926,10.0,308.5925925925926,40.0
SR19-01827666,Business Complaints,BACP - Business Affairs and Consumer Protection,2019-06-30 10:33:54,2020-05-13 16:39:00,318.25354166666665,10.0,308.25354166666665,25.0
SR19-02916145,Tree Removal Inspection,Streets and Sanitation,2019-11-09 14:58:28,2020-09-22 12:41:53,317.905150462963,10.0,307.905150462963,47.0
SR25-00520153,Tree Removal Inspection,Streets and Sanitation,2025-04-02 02:39:19,2026-02-13 11:39:28,317.3751041666667,10.0,307.3751041666667,28.0
SR19-01208617,Alley Light Out Complaint,CDOT - Department of Transportation,2019-03-23 08:35:08,2020-02-03 16:27:02,317.3277083333333,10.0,307.3277083333333,22.0
SR20-05335640,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-10-26 08:45:28,2021-09-08 12:32:14,317.15747685185187,10.0,307.15747685185187,34.0
SR19-01777953,Tree Planting Request,Streets and Sanitation,2019-06-24 09:13:25,2020-05-06 10:30:40,317.05364583333335,10.0,307.05364583333335,38.0
SR19-01519712,Tree Removal Inspection,Streets and Sanitation,2019-05-19 10:03:32,2020-03-31 10:56:33,317.03681712962964,10.0,307.03681712962964,39.0
SR19-02432269,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-09-09 15:18:27,2020-07-22 12:26:15,316.8804166666667,10.0,306.8804166666667,22.0
SR21-01694649,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2021-09-22 20:16:34,2022-08-05 12:19:39,316.66880787037036,10.0,306.66880787037036,28.0
SR19-01666060,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2019-06-09 21:05:28,2020-04-21 10:48:34,316.57159722222224,10.0,306.57159722222224,26.0
SR19-02512160,Alley Light Out Complaint,CDOT - Department of Transportation,2019-09-18 07:34:02,2020-07-30 18:41:46,316.4637037037037,10.0,306.4637037037037,17.0
SR25-00465169,Street Light Out Complaint,CDOT - Department of Transportation,2025-03-24 06:59:24,2026-02-03 15:32:14,316.35613425925925,10.0,306.35613425925925,18.0
SR19-00068204,Alley Light Out Complaint,CDOT - Department of Transportation,2019-01-15 09:57:04,2019-11-27 14:54:12,316.2063425925926,10.0,306.2063425925926,48.0
SR19-01138476,Pothole in Street Complaint,CDOT - Department of Transportation,2019-03-11 12:28:48,2020-01-21 15:22:56,316.1209259259259,10.0,306.1209259259259,
SR19-01668429,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2019-06-10 09:13:34,2020-04-21 10:48:34,316.06597222222223,10.0,306.06597222222223,26.0
SR19-01847693,Business Complaints,BACP - Business Affairs and Consumer Protection,2019-07-02 16:46:19,2020-05-13 16:39:00,315.9949189814815,10.0,305.9949189814815,25.0
SR25-00470554,Sidewalk Inspection Request,CDOT - Department of Transportation,2025-03-24 19:29:29,2026-02-03 10:48:01,315.63787037037036,10.0,305.63787037037036,39.0
SR18-00252502,Alley Pothole Complaint,CDOT - Department of Transportation,2018-12-31 00:35:49,2019-11-11 09:26:09,315.368287037037,10.0,305.368287037037,39.0
SR19-02869630,Alley Light Out Complaint,CDOT - Department of Transportation,2019-11-02 12:40:13,2020-09-12 19:53:08,315.3006365740741,10.0,305.3006365740741,6.0
SR20-04202187,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-05-26 08:57:37,2021-04-06 12:06:27,315.1311342592593,10.0,305.1311342592593,35.0
SR20-03364628,Alley Light Out Complaint,CDOT - Department of Transportation,2020-01-21 14:28:43,2020-12-01 16:54:05,315.1009490740741,10.0,305.1009490740741,15.0
SR19-01677555,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2019-06-11 08:53:30,2020-04-21 10:48:34,315.0799074074074,10.0,305.0799074074074,26.0
SR19-01477982,Pothole in Street Complaint,CDOT - Department of Transportation,2019-05-13 08:27:52,2020-03-23 09:51:53,315.0583449074074,10.0,305.0583449074074,
SR19-01588992,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-05-29 14:03:49,2020-04-08 14:41:47,315.02636574074074,10.0,305.02636574074074,38.0
SR22-00687521,Pothole in Street Complaint,CDOT - Department of Transportation,2022-04-26 13:42:57,2023-03-07 12:20:37,314.94282407407405,10.0,304.94282407407405,
SR20-03649670,Water Quality Concern,DWM - Department of Water Management,2020-03-06 17:28:41,2021-01-15 15:41:28,314.9255439814815,10.0,304.9255439814815,36.0
SR19-02742080,Street Light Out Complaint,CDOT - Department of Transportation,2019-10-16 19:03:08,2020-08-26 15:26:10,314.8493287037037,10.0,304.8493287037037,27.0
SR19-01600397,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-05-30 20:34:31,2020-04-09 15:04:21,314.7707175925926,10.0,304.7707175925926,38.0
SR19-01920092,Alley Light Out Complaint,CDOT - Department of Transportation,2019-07-11 11:52:19,2020-05-21 06:19:49,314.76909722222223,10.0,304.76909722222223,8.0
SR19-00029900,Alley Light Out Complaint,CDOT - Department of Transportation,2019-01-07 18:26:26,2019-11-18 12:12:25,314.7402662037037,10.0,304.7402662037037,35.0
SR20-04071379,Water On Street Complaint,DWM - Department of Water Management,2020-05-07 23:12:50,2021-03-18 08:45:11,314.39746527777777,10.0,304.39746527777777,30.0
SR21-01691010,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2021-09-22 11:22:56,2022-08-02 13:54:44,314.10541666666666,10.0,304.10541666666666,10.0
SR20-05386547,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-11-03 11:48:30,2021-09-13 09:57:07,313.92265046296296,10.0,303.92265046296296,47.0
SR19-01165887,Pothole in Street Complaint,CDOT - Department of Transportation,2019-03-15 11:53:29,2020-01-23 09:05:21,313.88324074074075,10.0,303.88324074074075,35.0
SR19-01131570,Pothole in Street Complaint,CDOT - Department of Transportation,2019-03-09 16:09:47,2020-01-17 11:51:29,313.820625,10.0,303.820625,
SR20-03508121,Pothole in Street Complaint,CDOT - Department of Transportation,2020-02-12 15:50:12,2020-12-22 11:17:20,313.8105092592593,10.0,303.8105092592593,
SR21-01185188,Sidewalk Inspection Request,CDOT - Department of Transportation,2021-07-08 15:00:56,2022-05-18 09:42:09,313.7786226851852,10.0,303.7786226851852,41.0
SR19-01106742,Check for Leak,DWM - Department of Water Management,2019-03-05 03:58:14,2020-01-12 16:31:50,313.5233333333333,10.0,303.5233333333333,16.0
SR19-01107429,Check for Leak,DWM - Department of Water Management,2019-03-05 08:54:23,2020-01-12 16:31:50,313.3176736111111,10.0,303.3176736111111,16.0
SR25-00458458,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-03-22 10:48:44,2026-01-29 14:25:11,313.1503125,10.0,303.1503125,8.0
SR19-01472527,Pothole in Street Complaint,CDOT - Department of Transportation,2019-05-11 12:36:25,2020-03-19 15:07:45,313.1050925925926,10.0,303.1050925925926,
SR21-00053603,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2021-01-11 10:11:38,2021-11-20 12:03:00,313.077337962963,10.0,303.077337962963,47.0
SR19-02087589,Alley Light Out Complaint,CDOT - Department of Transportation,2019-07-31 15:40:06,2020-06-08 16:06:51,313.0185763888889,10.0,303.0185763888889,20.0
SR19-01691947,Tree Planting Request,Streets and Sanitation,2019-06-12 15:10:10,2020-04-20 10:14:46,312.7948611111111,10.0,302.7948611111111,1.0
SR19-00006828,Alley Light Out Complaint,CDOT - Department of Transportation,2019-01-02 16:48:23,2019-11-11 08:00:26,312.63336805555554,10.0,302.63336805555554,6.0
SR21-00997984,Tree Planting Request,Streets and Sanitation,2021-06-11 23:56:54,2022-04-20 15:04:51,312.6305208333333,10.0,302.6305208333333,29.0
SR19-00007648,Alley Pothole Complaint,CDOT - Department of Transportation,2019-01-02 21:13:43,2019-11-11 09:26:09,312.5086342592593,10.0,302.5086342592593,39.0
SR20-04089623,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-05-11 12:53:47,2021-03-19 13:45:34,312.03596064814815,10.0,302.03596064814815,31.0
SR20-04712291,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-07-31 13:46:08,2021-06-08 13:25:20,311.98555555555555,10.0,301.98555555555555,36.0
SR21-01724994,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2021-09-28 08:51:39,2022-08-06 08:24:15,311.98097222222225,10.0,301.98097222222225,40.0
SR19-02641154,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-10-03 14:20:59,2020-08-10 12:59:15,311.94324074074075,10.0,301.94324074074075,45.0
SR25-00552777,Tree Removal Inspection,Streets and Sanitation,2025-04-07 13:27:54,2026-02-13 11:39:28,311.92469907407406,10.0,301.92469907407406,28.0
SR19-02112162,Alley Light Out Complaint,CDOT - Department of Transportation,2019-08-03 12:51:17,2020-06-10 08:50:47,311.8329861111111,10.0,301.8329861111111,22.0
SR18-00161234,No Building Permit and Construction Violation,DOB - Buildings,2018-09-16 21:09:00,2019-07-25 15:54:16,311.78143518518516,10.0,301.78143518518516,43.0
SR19-00011377,Alley Pothole Complaint,CDOT - Department of Transportation,2019-01-03 16:08:21,2019-11-11 09:23:00,311.71850694444447,10.0,301.71850694444447,
SR19-00090166,Alley Light Out Complaint,CDOT - Department of Transportation,2019-01-19 17:01:53,2019-11-27 08:25:17,311.64125,10.0,301.64125,20.0
SR21-00663362,Tree Planting Request,Streets and Sanitation,2021-04-22 18:32:00,2022-02-28 06:40:38,311.5059953703704,10.0,301.5059953703704,14.0
SR19-01942172,Alley Light Out Complaint,CDOT - Department of Transportation,2019-07-14 15:50:28,2020-05-20 23:10:10,311.3053472222222,10.0,301.3053472222222,13.0
SR19-03146751,Alley Light Out Complaint,CDOT - Department of Transportation,2019-12-16 12:41:27,2020-10-22 15:57:41,311.1362731481481,10.0,301.1362731481481,6.0
SR19-01185782,Tree Removal Inspection,Streets and Sanitation,2019-03-19 11:55:55,2020-01-24 14:06:48,311.0908912037037,10.0,301.0908912037037,27.0
SR18-00161556,No Building Permit and Construction Violation,DOB - Buildings,2018-09-17 14:15:00,2019-07-25 16:01:05,311.0736689814815,10.0,301.0736689814815,43.0
SR18-00161553,No Building Permit and Construction Violation,DOB - Buildings,2018-09-17 14:12:04,2019-07-25 15:57:05,311.07292824074074,10.0,301.07292824074074,43.0
SR19-01764798,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-06-21 15:03:38,2020-04-27 16:06:15,311.0434837962963,10.0,301.0434837962963,4.0
SR25-00495419,Sidewalk Inspection Request,CDOT - Department of Transportation,2025-03-28 13:50:02,2026-02-02 13:55:40,311.003912037037,10.0,301.003912037037,45.0
SR19-01209181,Tree Removal Inspection,Streets and Sanitation,2019-03-23 11:07:43,2020-01-28 09:42:06,310.9405439814815,10.0,300.9405439814815,41.0
SR18-00252996,Water On Street Complaint,DWM - Department of Water Management,2018-12-31 08:11:23,2019-11-07 06:32:23,310.93125,10.0,300.93125,47.0
SR19-01620566,Tree Removal Inspection,Streets and Sanitation,2019-06-03 12:48:21,2020-04-09 10:09:41,310.8898148148148,10.0,300.8898148148148,45.0
SR25-00464341,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-03-23 21:25:45,2026-01-28 14:54:51,310.7285416666667,10.0,300.7285416666667,14.0
SR19-02609866,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-09-30 08:38:31,2020-08-05 15:34:59,310.28921296296295,10.0,300.28921296296295,33.0
SR19-01343954,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-04-17 12:27:48,2020-02-21 19:08:39,310.2783680555556,10.0,300.2783680555556,21.0
SR18-00161701,No Building Permit and Construction Violation,DOB - Buildings,2018-09-18 10:12:00,2019-07-25 16:06:03,310.24586805555555,10.0,300.24586805555555,43.0
SR18-00240985,Alley Light Out Complaint,CDOT - Department of Transportation,2018-12-27 16:58:18,2019-11-02 16:09:18,309.9659722222222,10.0,299.9659722222222,28.0
