product_a,product_b,support,confidence_ab,confidence_ba,lift,pair_count
DOORMAT NEW ENGLAND,DOORMAT RED RETROSPOT,0.0109,0.2505,0.2449,5.62,119
JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.0237,0.3727,0.3543,5.56,259
LUNCH BAG PINK POLKADOT,LUNCH BAG WOODLAND,0.0262,0.3397,0.4281,5.55,286
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0211,0.3758,0.3104,5.53,230
JUMBO BAG ALPHABET,JUMBO BAG VINTAGE LEAF,0.0221,0.3503,0.3473,5.51,241
WOOD 2 DRAWER CABINET WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.0169,0.3841,0.2415,5.5,184
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.0432,0.5594,0.4239,5.49,471
HEART OF WICKER LARGE,LARGE WHITE HEART OF WICKER,0.0175,0.2468,0.3882,5.47,191
LUNCH BAG CARS BLUE,LUNCH BAG DOLLY GIRL DESIGN,0.0207,0.258,0.438,5.45,226
LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND,0.0254,0.3333,0.4147,5.44,277
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.0333,0.4144,0.4368,5.44,363
JUMBO BAG VINTAGE LEAF,LUNCH BAG VINTAGE LEAF DESIGN,0.0174,0.2738,0.3461,5.44,190
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG PINK POLKADOT,0.0223,0.3971,0.3045,5.43,243
LUNCH BAG APPLE DESIGN,LUNCH BAG WOODLAND,0.0225,0.332,0.3668,5.42,245
HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,0.0132,0.2981,0.2392,5.4,144
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE DOILY,0.0134,0.2734,0.2645,5.4,146
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG PINK VINTAGE PAISLEY,0.0152,0.2712,0.3024,5.39,166
LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND,0.0297,0.3303,0.485,5.39,324
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG PINK POLKADOT,0.0196,0.4147,0.2542,5.37,214
SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,0.0249,0.2813,0.4747,5.36,272
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.0334,0.3276,0.5449,5.35,364
WOOD 2 DRAWER CABINET WHITE FINISH,WOODEN PICTURE FRAME WHITE FINISH,0.0181,0.4113,0.2342,5.33,197
LUNCH BAG ALPHABET DESIGN,LUNCH BAG SUKI DESIGN,0.0219,0.4051,0.2876,5.32,239
LUNCH BAG  BLACK SKULL.,LUNCH BAG DOLLY GIRL DESIGN,0.0226,0.2508,0.4767,5.3,246
JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,0.0194,0.3453,0.2969,5.28,212
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,0.0319,0.4014,0.4188,5.27,348
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.036,0.4006,0.4729,5.26,393
LUNCH BAG APPLE DESIGN,LUNCH BAG VINTAGE DOILY,0.0157,0.2317,0.3555,5.26,171
JUMBO BAG APPLES,LUNCH BAG VINTAGE LEAF DESIGN,0.015,0.2649,0.2987,5.26,164
LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG WOODLAND,0.0161,0.3206,0.2635,5.24,176
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.0333,0.4144,0.4187,5.21,363
LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,0.0305,0.3955,0.4007,5.19,333
JUMBO BAG PINK POLKADOT,JUMBO STORAGE BAG SUKI,0.0248,0.3396,0.3796,5.19,271
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO STORAGE BAG SUKI,0.0171,0.3388,0.2605,5.18,186
LUNCH BAG APPLE DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.0165,0.2439,0.3488,5.16,180
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,0.0369,0.4098,0.4589,5.1,402
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,0.0245,0.5174,0.2403,5.08,267
LUNCH BAG ALPHABET DESIGN,LUNCH BAG WOODLAND,0.0167,0.3085,0.2725,5.04,182
JUMBO BAG APPLES,JUMBO BAG VINTAGE DOILY,0.0144,0.2536,0.2844,5.01,157
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.0362,0.2813,0.6433,5.0,395
LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,0.0306,0.3967,0.3852,4.99,334
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN,0.0357,0.3965,0.4487,4.99,389
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,0.0222,0.3266,0.3389,4.99,242
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.0464,0.6341,0.3604,4.93,506
LUNCH BAG SUKI DESIGN,LUNCH BAG VINTAGE DOILY,0.0163,0.2142,0.3701,4.86,178
LUNCH BAG  BLACK SKULL.,LUNCH BAG VINTAGE LEAF DESIGN,0.0219,0.2436,0.4353,4.84,239
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.0444,0.4934,0.4356,4.84,484
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.0376,0.369,0.4934,4.84,410
DOORMAT KEEP CALM AND COME IN,DOORMAT UNION FLAG,0.0102,0.1982,0.2478,4.83,111
HOT WATER BOTTLE KEEP CALM,SCOTTIE DOG HOT WATER BOTTLE,0.0162,0.2654,0.294,4.81,177
BAKING SET 9 PIECE RETROSPOT,RETROSPOT TEA SET CERAMIC 11 PC,0.0172,0.2806,0.2933,4.78,188
LUNCH BAG ALPHABET DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0204,0.378,0.2572,4.76,223
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.019,0.2388,0.377,4.74,207
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.0112,0.2364,0.2222,4.7,122
LUNCH BAG APPLE DESIGN,LUNCH BAG PINK POLKADOT,0.0245,0.3618,0.3171,4.69,267
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD BLACK BOARD ANT WHITE FINISH,0.0101,0.2296,0.2048,4.67,110
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.0376,0.369,0.4729,4.64,410
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,0.0379,0.4715,0.3717,4.63,413
LUNCH BAG RED RETROSPOT,LUNCH BAG VINTAGE DOILY,0.0208,0.2043,0.4719,4.63,227
HOT WATER BOTTLE TEA AND SYMPATHY,RETROSPOT HEART HOT WATER BOTTLE,0.009,0.2029,0.2046,4.62,98
LUNCH BAG VINTAGE DOILY,LUNCH BAG WOODLAND,0.0125,0.2827,0.2036,4.62,136
LUNCH BAG ALPHABET DESIGN,LUNCH BAG CARS BLUE,0.0201,0.3712,0.25,4.62,219
LUNCH BAG ALPHABET DESIGN,LUNCH BAG PINK POLKADOT,0.0193,0.3559,0.2494,4.61,210
DOORMAT NEW ENGLAND,DOORMAT UNION FLAG,0.0083,0.1895,0.2009,4.61,90
CHARLOTTE BAG SUKI DESIGN,JUMBO STORAGE BAG SUKI,0.0136,0.3014,0.2073,4.61,148
LUNCH BAG ALPHABET DESIGN,LUNCH BAG VINTAGE DOILY,0.011,0.2034,0.2495,4.61,120
PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0243,0.5487,0.2043,4.61,265
GREY HEART HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.0086,0.1996,0.1979,4.58,94
JUMBO BAG APPLES,JUMBO BAG PINK POLKADOT,0.019,0.3344,0.2594,4.57,207
LUNCH BAG  BLACK SKULL.,LUNCH BAG APPLE DESIGN,0.0277,0.3078,0.4092,4.55,302
LUNCH BAG APPLE DESIGN,LUNCH BAG CARS BLUE,0.0246,0.3631,0.3059,4.52,268
LUNCH BAG APPLE DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0242,0.3577,0.3045,4.5,264
LUNCH BAG PINK POLKADOT,LUNCH BAG VINTAGE DOILY,0.0153,0.1983,0.3472,4.5,167
LUNCH BAG DOLLY GIRL DESIGN,SPACEBOY LUNCH BOX,0.0095,0.2016,0.2122,4.49,104
LUNCH BAG PINK POLKADOT,LUNCH BAG VINTAGE LEAF DESIGN,0.0174,0.2257,0.3461,4.48,190
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.0323,0.2714,0.5301,4.46,352
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0294,0.5288,0.2475,4.45,321
LUNCH BAG RED RETROSPOT,LUNCH BAG VINTAGE LEAF DESIGN,0.0228,0.2241,0.4536,4.45,249
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.0374,0.2906,0.5714,4.44,408
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.0305,0.4512,0.2997,4.43,333
JUMBO BAG APPLES,JUMBO STORAGE BAG SUKI,0.0164,0.2892,0.2507,4.42,179
LUNCH BAG  BLACK SKULL.,LUNCH BAG VINTAGE DOILY,0.0175,0.1947,0.3971,4.42,191
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.0318,0.567,0.2472,4.41,347
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG VINTAGE DOILY,0.0154,0.1938,0.3493,4.39,168
LUNCH BAG  BLACK SKULL.,LUNCH BAG ALPHABET DESIGN,0.0214,0.2375,0.3949,4.39,233
CHOCOLATE HOT WATER BOTTLE,GREY HEART HOT WATER BOTTLE,0.0112,0.1886,0.259,4.37,122
LUNCH BAG CARS BLUE,LUNCH BAG VINTAGE LEAF DESIGN,0.0175,0.218,0.3479,4.33,191
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG APPLES,0.0138,0.2451,0.2423,4.32,150
HAND WARMER OWL DESIGN,HOT WATER BOTTLE KEEP CALM,0.0127,0.2634,0.2069,4.31,138
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG VINTAGE LEAF,0.0138,0.2732,0.2161,4.29,150
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.0277,0.5501,0.2151,4.27,302
HEART OF WICKER SMALL,SMALL WHITE HEART OF WICKER,0.0179,0.2181,0.3482,4.25,195
JUMBO BAG PINK POLKADOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0211,0.2882,0.3104,4.24,230
JUMBO BAG APPLES,JUMBO BAG STRAWBERRY,0.0135,0.2375,0.2394,4.22,147
HAND WARMER OWL DESIGN,HOT WATER BOTTLE TEA AND SYMPATHY,0.009,0.187,0.2029,4.22,98
JUMBO BAG VINTAGE LEAF,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0182,0.2867,0.2686,4.22,199
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG VINTAGE DOILY,0.0088,0.186,0.1996,4.22,96
JUMBO BAG VINTAGE LEAF,JUMBO STORAGE BAG SUKI,0.0173,0.2723,0.2647,4.16,189
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.0392,0.6815,0.2384,4.14,428
HAND WARMER OWL DESIGN,SCOTTIE DOG HOT WATER BOTTLE,0.0109,0.2271,0.1977,4.12,119
JUMBO BAG 50'S CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.0162,0.3315,0.1987,4.06,177
CHARLOTTE BAG SUKI DESIGN,LUNCH BAG SUKI DESIGN,0.0138,0.3055,0.1805,4.01,150
JUMBO BAG ALPHABET,JUMBO STORAGE BAG SUKI,0.0165,0.2616,0.2521,4.0,180
JUMBO BAG STRAWBERRY,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0153,0.272,0.2254,4.0,167
LUNCH BAG ALPHABET DESIGN,LUNCH BAG RED RETROSPOT,0.0219,0.4051,0.2151,3.98,239
JUMBO STORAGE BAG SUKI,LUNCH BAG SUKI DESIGN,0.0197,0.3011,0.2587,3.95,215
JUMBO BAG ALPHABET,JUMBO BAG VINTAGE DOILY,0.0126,0.1991,0.2482,3.94,137
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.0287,0.5057,0.2229,3.93,313
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0342,0.2657,0.5034,3.91,373
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG VINTAGE LEAF,0.0138,0.2467,0.2176,3.88,151
JUMBO BAG ALPHABET,JUMBO BAG PINK VINTAGE PAISLEY,0.0123,0.1948,0.2441,3.87,134
JUMBO BAG APPLES,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0149,0.2617,0.2186,3.85,162
JUMBO BAG STRAWBERRY,JUMBO BAG VINTAGE LEAF,0.0138,0.2443,0.2161,3.84,150
JUMBO BAG VINTAGE DOILY,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0132,0.2609,0.1943,3.84,144
60 TEATIME FAIRY CAKE CASES,GINGERBREAD MAN COOKIE CUTTER,0.0086,0.1612,0.2035,3.81,94
JAM MAKING SET WITH JARS,SET OF 6 SPICE TINS PANTRY DESIGN,0.0134,0.1997,0.2548,3.8,146
JUMBO BAG VINTAGE DOILY,JUMBO STORAGE BAG SUKI,0.0126,0.2482,0.1919,3.79,137
JUMBO BAG ALPHABET,JUMBO BAG PINK POLKADOT,0.0174,0.2762,0.2381,3.78,190
JUMBO BAG PINK POLKADOT,JUMBO BAG VINTAGE LEAF,0.0176,0.2406,0.2767,3.78,192
RECIPE BOX PANTRY YELLOW DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0224,0.3342,0.2523,3.77,244
PARTY BUNTING,SPOTTY BUNTING,0.0329,0.2994,0.4141,3.77,359
HOT WATER BOTTLE KEEP CALM,RETROSPOT HEART HOT WATER BOTTLE,0.0101,0.1649,0.2296,3.76,110
JUMBO BAG PINK POLKADOT,LUNCH BAG PINK POLKADOT,0.0212,0.2895,0.2743,3.75,231
GREY HEART HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.0072,0.1656,0.1615,3.74,78
COLOUR GLASS T-LIGHT HOLDER HANGING,VICTORIAN GLASS HANGING T-LIGHT,0.0108,0.2438,0.1657,3.74,118
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE DOILY,0.0243,0.1887,0.4801,3.73,265
JUMBO BAG APPLES,JUMBO BAG PINK VINTAGE PAISLEY,0.0106,0.1874,0.2113,3.72,116
JUMBO BAG ALPHABET,JUMBO BAG STRAWBERRY,0.0132,0.2093,0.2345,3.72,144
JUMBO BAG APPLES,LUNCH BAG ALPHABET DESIGN,0.0114,0.2003,0.2102,3.7,124
PACK OF 72 RETROSPOT CAKE CASES,SET/20 RED RETROSPOT PAPER NAPKINS,0.0142,0.1872,0.2798,3.69,155
JUMBO BAG PINK POLKADOT,JUMBO BAG VINTAGE DOILY,0.0137,0.1867,0.2699,3.69,149
LUNCH BAG SPACEBOY DESIGN,SPACEBOY LUNCH BOX,0.0131,0.1649,0.2918,3.67,143
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,0.0297,0.2308,0.4669,3.63,324
RECIPE BOX PANTRY YELLOW DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,0.0127,0.1904,0.2426,3.63,139
CLOTHES PEGS RETROSPOT PACK 24,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0109,0.2237,0.1763,3.62,119
LUNCH BAG CARS BLUE,LUNCH BAG VINTAGE DOILY,0.0127,0.1587,0.289,3.6,139
JUMBO STORAGE BAG SUKI,RED RETROSPOT CHARLOTTE BAG,0.0129,0.1975,0.235,3.59,141
PAPER BUNTING RETROSPOT,SET/20 RED RETROSPOT PAPER NAPKINS,0.0073,0.1818,0.1444,3.58,80
GREY HEART HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,0.0094,0.2187,0.1544,3.58,103
JUMBO BAG 50'S CHRISTMAS,LUNCH BAG VINTAGE DOILY,0.0077,0.1573,0.1746,3.57,84
CHARLOTTE BAG SUKI DESIGN,LUNCH BAG WOODLAND,0.0098,0.2179,0.1602,3.56,107
CHARLOTTE BAG SUKI DESIGN,LUNCH BAG APPLE DESIGN,0.0108,0.2403,0.1599,3.55,118
WOOD BLACK BOARD ANT WHITE FINISH,WOODEN PICTURE FRAME WHITE FINISH,0.0135,0.2737,0.1748,3.55,147
CHARLOTTE BAG SUKI DESIGN,PACK OF 60 DINOSAUR CAKE CASES,0.0068,0.1507,0.1595,3.54,74
LUNCH BAG  BLACK SKULL.,RED RETROSPOT CHARLOTTE BAG,0.0175,0.1947,0.3183,3.54,191
JUMBO BAG VINTAGE DOILY,LUNCH BAG VINTAGE LEAF DESIGN,0.009,0.1775,0.1785,3.53,98
CHARLOTTE BAG SUKI DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.0075,0.167,0.1589,3.53,82
LUNCH BAG VINTAGE DOILY,RED RETROSPOT CHARLOTTE BAG,0.0085,0.1933,0.155,3.52,93
ANTIQUE SILVER T-LIGHT GLASS,VICTORIAN GLASS HANGING T-LIGHT,0.01,0.229,0.1531,3.51,109
JUMBO BAG ALPHABET,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0149,0.2369,0.22,3.49,163
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG VINTAGE DOILY,0.0089,0.1767,0.1757,3.49,97
LUNCH BAG VINTAGE LEAF DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0096,0.1913,0.175,3.48,105
PINK REGENCY TEACUP AND SAUCER,SET OF 3 REGENCY CAKE TINS,0.0075,0.1698,0.1533,3.46,82
JUMBO BAG VINTAGE LEAF,LUNCH BAG VINTAGE DOILY,0.0097,0.1527,0.2204,3.46,106
HAND WARMER OWL DESIGN,HOT WATER BOTTLE I AM SO POORLY,0.0072,0.1508,0.1663,3.46,79
GINGERBREAD MAN COOKIE CUTTER,SET OF 4 PANTRY JELLY MOULDS,0.0102,0.2403,0.1462,3.45,111
LUNCH BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0144,0.1889,0.2617,3.44,157
JUMBO BAG ALPHABET,LUNCH BAG APPLE DESIGN,0.0147,0.2326,0.2168,3.44,160
LUNCH BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0146,0.1888,0.265,3.43,159
GINGERBREAD MAN COOKIE CUTTER,PACK OF 60 PINK PAISLEY CAKE CASES,0.0077,0.1818,0.1451,3.43,84
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG ALPHABET,0.0121,0.2157,0.1919,3.42,132
DOORMAT KEEP CALM AND COME IN,GARDENERS KNEELING PAD KEEP CALM,0.0118,0.2304,0.175,3.41,129
HEART OF WICKER LARGE,SMALL WHITE HEART OF WICKER,0.0124,0.1744,0.2411,3.4,135
JUMBO BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0137,0.1867,0.2483,3.39,149
JUMBO BAG VINTAGE LEAF,LUNCH BAG APPLE DESIGN,0.0146,0.2291,0.2154,3.39,159
