customer_id,touchpoint_order,total_touchpoints,channel,converted,revenue
107,3,4,Facebook,0,0.0
107,4,4,YouTube,0,0.0
108,1,2,YouTube,0,0.0
108,2,2,Organic SEO,0,0.0
109,1,2,Organic SEO,1,0.0
109,2,2,Google Search,1,104.19
110,1,3,YouTube,0,0.0
110,2,3,Organic SEO,0,0.0
110,3,3,Email,0,0.0
111,1,2,Google Search,0,0.0
111,2,2,YouTube,0,0.0
112,1,1,YouTube,1,22.83
113,1,6,YouTube,0,0.0
113,2,6,Google Search,0,0.0
113,3,6,Organic SEO,0,0.0
113,4,6,Direct,0,0.0
113,5,6,Email,0,0.0
113,6,6,Email,0,0.0
114,1,5,YouTube,0,0.0
114,2,5,Google Search,0,0.0
114,3,5,Email,0,0.0
114,4,5,Instagram,0,0.0
114,5,5,Instagram,0,0.0
115,1,4,YouTube,1,0.0
115,2,4,Instagram,1,0.0
115,3,4,Direct,1,0.0
115,4,4,Organic SEO,1,35.53
116,1,5,Direct,1,0.0
116,2,5,Instagram,1,0.0
116,3,5,Direct,1,0.0
116,4,5,YouTube,1,0.0
116,5,5,Email,1,103.32
117,1,1,Facebook,0,0.0
118,1,4,Instagram,1,0.0
118,2,4,YouTube,1,0.0
118,3,4,Email,1,0.0
118,4,4,Instagram,1,150.95
119,1,4,Facebook,0,0.0
119,2,4,Direct,0,0.0
119,3,4,Email,0,0.0
119,4,4,Organic SEO,0,0.0
120,1,3,Instagram,1,0.0
120,2,3,Instagram,1,0.0
120,3,3,Facebook,1,101.49
121,1,4,Instagram,0,0.0
121,2,4,Direct,0,0.0
121,3,4,YouTube,0,0.0
121,4,4,YouTube,0,0.0
122,1,1,Google Search,1,83.02
123,1,6,Facebook,0,0.0
123,2,6,YouTube,0,0.0
123,3,6,Email,0,0.0
123,4,6,Instagram,0,0.0
123,5,6,Email,0,0.0
123,6,6,Organic SEO,0,0.0
124,1,3,YouTube,1,0.0
124,2,3,Facebook,1,0.0
124,3,3,Facebook,1,72.91
125,1,2,Email,0,0.0
125,2,2,Direct,0,0.0
126,1,6,Facebook,1,0.0
126,2,6,Facebook,1,0.0
126,3,6,Instagram,1,0.0
126,4,6,Direct,1,0.0
126,5,6,Organic SEO,1,0.0
126,6,6,Instagram,1,31.98
127,1,1,Direct,1,54.39
128,1,3,Facebook,1,0.0
128,2,3,Google Search,1,0.0
128,3,3,Instagram,1,65.21
129,1,1,Instagram,0,0.0
130,1,2,YouTube,1,0.0
130,2,2,Direct,1,188.67
131,1,1,YouTube,0,0.0
132,1,4,Email,1,0.0
132,2,4,Organic SEO,1,0.0
132,3,4,Facebook,1,0.0
132,4,4,Organic SEO,1,114.5
133,1,1,Email,1,26.2
134,1,6,YouTube,0,0.0
134,2,6,Facebook,0,0.0
134,3,6,Direct,0,0.0
134,4,6,Organic SEO,0,0.0
134,5,6,Google Search,0,0.0
134,6,6,Facebook,0,0.0
135,1,4,YouTube,0,0.0
135,2,4,Direct,0,0.0
135,3,4,Facebook,0,0.0
135,4,4,Instagram,0,0.0
136,1,4,Email,1,0.0
136,2,4,YouTube,1,0.0
136,3,4,Instagram,1,0.0
136,4,4,Instagram,1,112.94
137,1,6,Google Search,0,0.0
137,2,6,Direct,0,0.0
137,3,6,YouTube,0,0.0
137,4,6,Facebook,0,0.0
137,5,6,Google Search,0,0.0
137,6,6,Facebook,0,0.0
138,1,2,Google Search,0,0.0
138,2,2,Instagram,0,0.0
139,1,3,Google Search,0,0.0
139,2,3,Email,0,0.0
139,3,3,Facebook,0,0.0
140,1,1,YouTube,0,0.0
141,1,6,YouTube,1,0.0
141,2,6,Direct,1,0.0
141,3,6,Facebook,1,0.0
141,4,6,Google Search,1,0.0
141,5,6,Facebook,1,0.0
141,6,6,Facebook,1,68.75
142,1,2,Google Search,1,0.0
142,2,2,Facebook,1,56.04
143,1,6,Direct,1,0.0
143,2,6,Organic SEO,1,0.0
143,3,6,Instagram,1,0.0
143,4,6,Instagram,1,0.0
143,5,6,Email,1,0.0
143,6,6,Email,1,138.13
144,1,5,Instagram,1,0.0
144,2,5,Google Search,1,0.0
144,3,5,Google Search,1,0.0
144,4,5,Instagram,1,0.0
144,5,5,Email,1,185.25
145,1,1,Facebook,0,0.0
146,1,5,YouTube,0,0.0
146,2,5,Google Search,0,0.0
146,3,5,Direct,0,0.0
146,4,5,Direct,0,0.0
146,5,5,YouTube,0,0.0
147,1,2,Instagram,0,0.0
147,2,2,YouTube,0,0.0
148,1,2,Organic SEO,0,0.0
148,2,2,Instagram,0,0.0
149,1,1,Instagram,0,0.0
150,1,3,YouTube,0,0.0
150,2,3,Organic SEO,0,0.0
150,3,3,Email,0,0.0
151,1,3,YouTube,1,0.0
151,2,3,Email,1,0.0
151,3,3,Direct,1,172.76
152,1,1,Email,1,50.03
153,1,4,Organic SEO,0,0.0
153,2,4,Direct,0,0.0
153,3,4,Google Search,0,0.0
153,4,4,Organic SEO,0,0.0
154,1,1,Facebook,0,0.0
155,1,4,YouTube,0,0.0
155,2,4,Direct,0,0.0
155,3,4,Facebook,0,0.0
155,4,4,Instagram,0,0.0
156,1,4,Organic SEO,0,0.0
156,2,4,Instagram,0,0.0
156,3,4,Google Search,0,0.0
156,4,4,YouTube,0,0.0
157,1,6,Facebook,0,0.0
157,2,6,Instagram,0,0.0
157,3,6,Instagram,0,0.0
157,4,6,Google Search,0,0.0
157,5,6,Organic SEO,0,0.0
157,6,6,Organic SEO,0,0.0
158,1,1,YouTube,1,72.5
159,1,6,Email,1,0.0
159,2,6,YouTube,1,0.0
159,3,6,Email,1,0.0
159,4,6,Instagram,1,0.0
159,5,6,Instagram,1,0.0
159,6,6,Instagram,1,113.51
160,1,2,Organic SEO,0,0.0
160,2,2,Instagram,0,0.0
161,1,1,Facebook,0,0.0
162,1,4,Email,0,0.0
162,2,4,Direct,0,0.0
162,3,4,Facebook,0,0.0
162,4,4,Google Search,0,0.0
163,1,5,YouTube,1,0.0
163,2,5,YouTube,1,0.0
163,3,5,Organic SEO,1,0.0
163,4,5,Instagram,1,0.0
163,5,5,Instagram,1,178.2
164,1,5,Email,0,0.0
164,2,5,Organic SEO,0,0.0
164,3,5,Organic SEO,0,0.0
164,4,5,Organic SEO,0,0.0
164,5,5,Facebook,0,0.0
165,1,4,Google Search,0,0.0
165,2,4,Direct,0,0.0
165,3,4,YouTube,0,0.0
165,4,4,Direct,0,0.0
166,1,6,Direct,1,0.0
166,2,6,YouTube,1,0.0
166,3,6,Facebook,1,0.0
166,4,6,Organic SEO,1,0.0
166,5,6,Google Search,1,0.0
166,6,6,Organic SEO,1,64.37
167,1,1,Organic SEO,0,0.0
168,1,5,Organic SEO,1,0.0
168,2,5,Google Search,1,0.0
168,3,5,Facebook,1,0.0
168,4,5,Organic SEO,1,0.0
168,5,5,Organic SEO,1,79.05
169,1,3,Email,0,0.0
169,2,3,YouTube,0,0.0
169,3,3,YouTube,0,0.0
170,1,6,Organic SEO,1,0.0
170,2,6,Email,1,0.0
170,3,6,Email,1,0.0
170,4,6,Direct,1,0.0
170,5,6,Direct,1,0.0
170,6,6,Organic SEO,1,41.49
171,1,1,Facebook,0,0.0
172,1,3,Organic SEO,1,0.0
172,2,3,Direct,1,0.0
172,3,3,Instagram,1,38.96
173,1,6,YouTube,1,0.0
173,2,6,Google Search,1,0.0
173,3,6,Facebook,1,0.0
173,4,6,Email,1,0.0
173,5,6,Google Search,1,0.0
173,6,6,Email,1,158.98
174,1,3,Email,0,0.0
174,2,3,Facebook,0,0.0
174,3,3,Instagram,0,0.0
175,1,2,Facebook,0,0.0
175,2,2,Google Search,0,0.0
176,1,5,YouTube,0,0.0
176,2,5,Instagram,0,0.0
176,3,5,YouTube,0,0.0
176,4,5,Facebook,0,0.0
176,5,5,YouTube,0,0.0
177,1,6,Google Search,1,0.0
177,2,6,Direct,1,0.0
177,3,6,Organic SEO,1,0.0
177,4,6,YouTube,1,0.0
177,5,6,Facebook,1,0.0
177,6,6,Instagram,1,232.61
178,1,5,Email,0,0.0
178,2,5,Organic SEO,0,0.0
178,3,5,YouTube,0,0.0
178,4,5,Instagram,0,0.0
178,5,5,Email,0,0.0
179,1,4,Google Search,0,0.0
179,2,4,Email,0,0.0
179,3,4,Email,0,0.0
179,4,4,Email,0,0.0
180,1,1,Organic SEO,0,0.0
181,1,3,Google Search,0,0.0
181,2,3,Organic SEO,0,0.0
181,3,3,Direct,0,0.0
182,1,5,Direct,0,0.0
182,2,5,Direct,0,0.0
182,3,5,Organic SEO,0,0.0
182,4,5,Direct,0,0.0
182,5,5,Facebook,0,0.0
183,1,2,YouTube,0,0.0
183,2,2,YouTube,0,0.0
184,1,6,Direct,0,0.0
184,2,6,YouTube,0,0.0
184,3,6,Google Search,0,0.0
184,4,6,Google Search,0,0.0
184,5,6,YouTube,0,0.0
184,6,6,Google Search,0,0.0
185,1,1,YouTube,0,0.0
186,1,1,Organic SEO,1,85.59
187,1,4,Facebook,0,0.0
187,2,4,Google Search,0,0.0
187,3,4,Instagram,0,0.0
187,4,4,Organic SEO,0,0.0
188,1,3,Direct,0,0.0
188,2,3,Facebook,0,0.0
188,3,3,Direct,0,0.0
189,1,3,Direct,0,0.0
189,2,3,Email,0,0.0
189,3,3,Google Search,0,0.0
190,1,2,Direct,0,0.0
190,2,2,Facebook,0,0.0
191,1,6,Organic SEO,0,0.0
191,2,6,Organic SEO,0,0.0
191,3,6,Direct,0,0.0
191,4,6,Email,0,0.0
191,5,6,Direct,0,0.0
191,6,6,Google Search,0,0.0
192,1,4,Email,0,0.0
192,2,4,Direct,0,0.0
192,3,4,Facebook,0,0.0
192,4,4,Email,0,0.0
193,1,3,Google Search,0,0.0
193,2,3,Facebook,0,0.0
193,3,3,Google Search,0,0.0
194,1,5,Email,0,0.0
194,2,5,YouTube,0,0.0
194,3,5,YouTube,0,0.0
194,4,5,YouTube,0,0.0
194,5,5,Instagram,0,0.0
195,1,6,Email,0,0.0
195,2,6,Google Search,0,0.0
195,3,6,Organic SEO,0,0.0
195,4,6,Email,0,0.0
195,5,6,Instagram,0,0.0
195,6,6,Google Search,0,0.0
196,1,2,Email,0,0.0
196,2,2,Email,0,0.0
197,1,6,Organic SEO,0,0.0
197,2,6,Email,0,0.0
197,3,6,Direct,0,0.0
197,4,6,Facebook,0,0.0
197,5,6,Email,0,0.0
197,6,6,Google Search,0,0.0
198,1,4,Organic SEO,0,0.0
198,2,4,Facebook,0,0.0
198,3,4,YouTube,0,0.0
198,4,4,Facebook,0,0.0
199,1,2,Direct,0,0.0
199,2,2,Google Search,0,0.0
200,1,5,Organic SEO,0,0.0
200,2,5,YouTube,0,0.0
200,3,5,Google Search,0,0.0
200,4,5,Facebook,0,0.0
200,5,5,Organic SEO,0,0.0
201,1,4,Google Search,1,0.0
201,2,4,Facebook,1,0.0
201,3,4,YouTube,1,0.0
201,4,4,Organic SEO,1,181.72
202,1,3,Facebook,1,0.0
202,2,3,Google Search,1,0.0
202,3,3,Instagram,1,115.95
203,1,5,Facebook,0,0.0
203,2,5,Facebook,0,0.0
203,3,5,Organic SEO,0,0.0
203,4,5,Email,0,0.0
203,5,5,Facebook,0,0.0
204,1,1,Facebook,0,0.0
205,1,2,Instagram,1,0.0
205,2,2,Direct,1,57.31
206,1,1,Google Search,0,0.0
207,1,2,YouTube,1,0.0
207,2,2,Google Search,1,115.93
208,1,2,Direct,0,0.0
208,2,2,Instagram,0,0.0
209,1,4,Instagram,1,0.0
209,2,4,Email,1,0.0
209,3,4,YouTube,1,0.0
209,4,4,Instagram,1,264.18
210,1,5,Google Search,0,0.0
210,2,5,Direct,0,0.0
210,3,5,Organic SEO,0,0.0
210,4,5,Instagram,0,0.0
210,5,5,Instagram,0,0.0
211,1,1,Organic SEO,0,0.0
212,1,4,YouTube,1,0.0
212,2,4,Instagram,1,0.0
212,3,4,Organic SEO,1,0.0
212,4,4,Google Search,1,87.79
213,1,5,Facebook,0,0.0
213,2,5,Google Search,0,0.0
213,3,5,YouTube,0,0.0
213,4,5,YouTube,0,0.0
213,5,5,YouTube,0,0.0
214,1,5,Instagram,0,0.0
214,2,5,Instagram,0,0.0
214,3,5,YouTube,0,0.0
214,4,5,Google Search,0,0.0
214,5,5,YouTube,0,0.0
215,1,6,Organic SEO,0,0.0
215,2,6,Instagram,0,0.0
215,3,6,Organic SEO,0,0.0
215,4,6,Instagram,0,0.0
215,5,6,Organic SEO,0,0.0
215,6,6,Email,0,0.0
216,1,4,Email,0,0.0
216,2,4,Google Search,0,0.0
216,3,4,Email,0,0.0
216,4,4,YouTube,0,0.0
217,1,2,YouTube,1,0.0
217,2,2,Instagram,1,269.15
218,1,1,Google Search,1,14.38
219,1,6,Email,0,0.0
219,2,6,Google Search,0,0.0
219,3,6,Google Search,0,0.0
219,4,6,Organic SEO,0,0.0
219,5,6,Instagram,0,0.0
219,6,6,YouTube,0,0.0
220,1,6,Organic SEO,1,0.0
220,2,6,Email,1,0.0
220,3,6,Organic SEO,1,0.0
220,4,6,Google Search,1,0.0
220,5,6,Email,1,0.0
220,6,6,Email,1,160.03
221,1,5,Facebook,0,0.0
221,2,5,YouTube,0,0.0
221,3,5,Facebook,0,0.0
221,4,5,Google Search,0,0.0
221,5,5,Direct,0,0.0
222,1,3,YouTube,0,0.0
222,2,3,Direct,0,0.0
222,3,3,Direct,0,0.0
223,1,5,YouTube,1,0.0
223,2,5,YouTube,1,0.0
223,3,5,Google Search,1,0.0
223,4,5,Organic SEO,1,0.0
223,5,5,Direct,1,95.67
224,1,2,Facebook,0,0.0
224,2,2,Direct,0,0.0
225,1,3,Google Search,0,0.0
225,2,3,Organic SEO,0,0.0
225,3,3,Instagram,0,0.0
226,1,2,Direct,1,0.0
226,2,2,Organic SEO,1,73.02
227,1,5,Facebook,0,0.0
227,2,5,Email,0,0.0
227,3,5,Email,0,0.0
227,4,5,Email,0,0.0
227,5,5,Direct,0,0.0
228,1,5,YouTube,1,0.0
228,2,5,Organic SEO,1,0.0
228,3,5,Facebook,1,0.0
228,4,5,Direct,1,0.0
228,5,5,Google Search,1,95.99
229,1,4,YouTube,0,0.0
229,2,4,Instagram,0,0.0
229,3,4,Instagram,0,0.0
229,4,4,Facebook,0,0.0
230,1,1,Email,1,22.39
231,1,6,YouTube,1,0.0
231,2,6,Instagram,1,0.0
231,3,6,YouTube,1,0.0
231,4,6,Google Search,1,0.0
231,5,6,Email,1,0.0
231,6,6,YouTube,1,77.19
232,1,3,Organic SEO,1,0.0
232,2,3,Direct,1,0.0
232,3,3,Direct,1,115.58
233,1,1,Google Search,0,0.0
234,1,2,Google Search,1,0.0
234,2,2,Instagram,1,253.29
235,1,5,Direct,1,0.0
235,2,5,Direct,1,0.0
235,3,5,Google Search,1,0.0
235,4,5,Organic SEO,1,0.0
235,5,5,Google Search,1,62.63
236,1,1,Organic SEO,0,0.0
237,1,5,Email,1,0.0
237,2,5,YouTube,1,0.0
237,3,5,Email,1,0.0
237,4,5,Email,1,0.0
237,5,5,Organic SEO,1,51.11
238,1,5,Instagram,0,0.0
238,2,5,YouTube,0,0.0
238,3,5,Email,0,0.0
238,4,5,Instagram,0,0.0
238,5,5,Google Search,0,0.0
239,1,4,Instagram,1,0.0
239,2,4,Email,1,0.0
239,3,4,Email,1,0.0
239,4,4,Email,1,63.36
240,1,2,Google Search,0,0.0
240,2,2,YouTube,0,0.0
241,1,2,Organic SEO,0,0.0
241,2,2,Email,0,0.0
242,1,6,Direct,0,0.0
242,2,6,Facebook,0,0.0
242,3,6,Facebook,0,0.0
242,4,6,Facebook,0,0.0
242,5,6,YouTube,0,0.0
242,6,6,Direct,0,0.0
243,1,2,Organic SEO,0,0.0
243,2,2,YouTube,0,0.0
244,1,5,Direct,0,0.0
244,2,5,Instagram,0,0.0
244,3,5,Organic SEO,0,0.0
