review_text,star_rating,review_id,date,sentiment,theme,urgency,key_phrase,month,week
"great hotel perfect central location just came trip san juan puerto rico, chose stay sheraton old san juan reviews site good, originally thought stay east coast glad stayed, not mention reviews sheraton properties coast terrible, location perfect want truly explore puerto rico central location easily accessible freeways tollways, easily walk forts central location, went day weekend wanted feel safe stayed, night felt completely safe leaving hotel walking streets restaurants nightclubs, walk vale",5,REV-0011,2024-01-10,positive,location,high,hotel location perfect central,2024-01,2024-01-08
"great hotel perfect central location just came trip san juan puerto rico, chose stay sheraton old san juan reviews site good, originally thought stay east coast glad stayed, not mention reviews sheraton properties coast terrible, location perfect want truly explore puerto rico central location easily accessible freeways tollways, easily walk forts central location, went day weekend wanted feel safe stayed, night felt completely safe leaving hotel walking streets restaurants nightclubs, walk vale",5,REV-0011,2024-01-10,positive,customer_service,low,felt safe leaving hotel,2024-01,2024-01-08
"beautiful just returned 5 night stay beach hotel, experience wonderful, read negative reviews going apprehensive say, grounds beautiful maintained, staff friendly helpful, food good prepared different manner usa, variety food excellent service attentive, drinks kept flowing liquor, rooms nice size lovely balcony, colorful bedspread added decor, negative small towels like rough bathmats bathmats big feet, maid service kept rooms clean in-room frig kept stocked, small tip day appreciated hard work",5,REV-0012,2024-01-11,positive,value_for_money,high,wonderful experience stayed 5 nights,2024-01,2024-01-08
"beautiful just returned 5 night stay beach hotel, experience wonderful, read negative reviews going apprehensive say, grounds beautiful maintained, staff friendly helpful, food good prepared different manner usa, variety food excellent service attentive, drinks kept flowing liquor, rooms nice size lovely balcony, colorful bedspread added decor, negative small towels like rough bathmats bathmats big feet, maid service kept rooms clean in-room frig kept stocked, small tip day appreciated hard work",5,REV-0012,2024-01-11,negative,product_quality,low,small towels rough bathmats,2024-01,2024-01-08
"hope come chose hotel based location reviews tripadvisor say written upsides hotel true, lovely staff excellent location low rates, accept bit noise night garbage trucks far guess, conclusion definately coming hotel chance san francisco,  ",5,REV-0013,2024-01-11,positive,location,high,excellent location low rates,2024-01,2024-01-08
"awesome hotel stayed luanna week 1 6. visit oahu, hotel awesome friendly staff great clean rooms comfortable beds, maid service efficient, air conditioning great long hot day sun, hotel room not microwaves book kitchenette wish, quiet hotel looking escape hustle bustle downtown close walk royal hawaiian shopping center international marketplace, enjoy walk fort derussey park famous waikiku beach 10 minutes away, easy access public transportation shopping shuttles, possibly want situated right, s",5,REV-0014,2024-01-12,positive,product_quality,high,hotel awesome friendly clean rooms,2024-01,2024-01-08
"awesome hotel stayed luanna week 1 6. visit oahu, hotel awesome friendly staff great clean rooms comfortable beds, maid service efficient, air conditioning great long hot day sun, hotel room not microwaves book kitchenette wish, quiet hotel looking escape hustle bustle downtown close walk royal hawaiian shopping center international marketplace, enjoy walk fort derussey park famous waikiku beach 10 minutes away, easy access public transportation shopping shuttles, possibly want situated right, s",5,REV-0014,2024-01-12,neutral,product_quality,low,room bathroom decent size,2024-01,2024-01-08
"great location friendly staff, friend just got staying hotel casci florence, not believe close cathedral sites, hotel clean maintained staff super friendly wanted make stay enjoyable possible, bumed did rain days grateful hotel provided umbrella, room bathroom decent size complaint mattresses little firm tastes, fridge flat screen tv nice surprise free access internet, definitly stay hotel highly recommend hotel,  ",5,REV-0015,2024-01-13,positive,customer_service,high,staff super friendly clean hotel,2024-01,2024-01-08
"great location friendly staff, friend just got staying hotel casci florence, not believe close cathedral sites, hotel clean maintained staff super friendly wanted make stay enjoyable possible, bumed did rain days grateful hotel provided umbrella, room bathroom decent size complaint mattresses little firm tastes, fridge flat screen tv nice surprise free access internet, definitly stay hotel highly recommend hotel,  ",5,REV-0015,2024-01-13,negative,product_quality,low,little firm mattresses,2024-01,2024-01-08
"loved mandarin oriental singapore writing inform wonders mandarin oriental hotel singapore, experience sheer luxury, urge contemplating stay singapore seriously consider option available choose, terms value money hit, booked early directly hotel secured great rate 300 aud night 2 adults 1 child breakfast included, fantastic given excellent standard quality hotel, bonus roll bed free extra charge rarity singapore hotels checked, husband worked global role london based sydney 10 years, consequence",5,REV-0016,2024-01-14,positive,value_for_money,high,good value luxury hotel,2024-01,2024-01-08
"excellent fronts wife stayed night february 2006 thought excellent, live albany ny occasion visit manhattan times year kids stay various hotels sure ranks high, room 38th floor overlooking east river chrysler empire state building pretty darn nice, king bed fine room certainly big especially room multiple beds fine kids, neighborhood nice attraction quiet not case manhatan hotels facing busy streets just 15-20 minute walk times square, did not eat restaurant hotel preferring graze walk including",5,REV-0017,2024-01-15,positive,customer_service,low,fantastic hotel stay,2024-01,2024-01-15
"normandie charming, booked normandie december spring break 2005 saw negative reviews nervous, unfounded, like stepping era, staff efficient courteous trouble renting vehicle big carry brood 14, handled, did best accomodate big crowd, ate breakfast twice nicely presented portions small, pool nicely kept towels hand, beach n't desirable public beach walking distance gorgeous not caribe direction, spent day just vegging, quiet renovations 99 complete need nightlife, thought room adequate junior sui",5,REV-0018,2024-01-16,positive,customer_service,low,staff were accommodating,2024-01,2024-01-15
"beautiful hotel quiet good location safe got best hotel price.we standard room beautiful clean.it looked like website.it black marble fireplace room white marble reclining female nude statue tall ceilings.it great bathroom deep tub good bed.what u need romance.the hotel special set movies.the hotel staff helpful, hotel close galleries lafayette breakfast day terrace overlooking opera paris.breakfast cheaper half department store.have fun,  ",5,REV-0019,2024-01-17,positive,customer_service,low,helpful staff romantic,2024-01,2024-01-15
"mature opulence original seasons hotel singapore, extremely convenient orchard area actually hussle bussle, not sure probably 25 years old matured gracefully, excellent staff excellent facilities rooms absolutely 5 star, quality staff efficient intrusive, normally stay fullerton pricing market level service going, holiday business try regent pleasantly surprised book singapore airways flight excellent value aroun,  ",5,REV-0020,2024-01-18,positive,customer_service,low,excellent service,2024-01,2024-01-15
"great staff makes hotel step reading reviews booked hotel 6 nights november, great, asked room balconey booked time request, cancellation gave room.the staff sent excellent places eat, got reservations uffizi, staff friendly helpful.i stay definately recommend friends,  ",5,REV-0021,2024-01-19,positive,customer_service,high,great staff makes hotel,2024-01,2024-01-15
"great location easy centraal station 5 minute walk busy main road deluxe room no traffic/people noise problems all.check in/out painless helpful provided map offered hold luggage day.did n't bother breakfast quite expensive 5 person.rooms great compact end day not looking palatial, clean good housekeeping, amenities wanted air sat tv good shower tea coffee making.there no room service,  ",5,REV-0022,2024-01-20,positive,value_for_money,high,great location hotel,2024-01,2024-01-15
"overpriced not trendy research thought hip trendy area dissappointed hotel area, yes entrance hotel looks like south beach miami rooms not, just idea taste 28 boyfriend 37 traveled pretty destinations internationally, consider trendy crowd easy, usually hit new trendy clubs traffic sports bars wine bars, pictures posted hotel website say photographer did amazing job real life furniture looked like purchased ikea small rooms small closet area restrooms shower does not sliding door curtain nor exh",1,REV-0023,2024-01-21,negative,product_quality,high,overpriced not trendy hotel,2024-01,2024-01-15
"affordable great location guest hotel times years pleasurable stay great value, location unbeatable, just block union square walking distance shopping well-known restaurants theater bart cable cars.the rooms eleventh floor little bit expensive come extra amenities like bathrobes cd players continental breakfast nearby cafe, bob concierge character willing help, stay rooms hotel quieter fabulous view city, no not modern hotel city updated clean wonderful theater adjacent farallon restaurant best ",5,REV-0024,2024-01-21,positive,value_for_money,high,great location affordable hotel,2024-01,2024-01-15
"great hotel, friendly attentive clean greatest hotel rooms small set feeling larger, rooms nicely decorated room balcony amsterdam, staff not friendlier attentive need construction outside offered switch room not really bother stayed overall not happier stay time come amsterdam.. hotel nadia love, soon,  ",5,REV-0025,2024-01-22,positive,product_quality,low,great hotel friendly staff,2024-01,2024-01-22
"wonderful staff planning trip paris friends looked lot websites read traveler reveiws, hotel lelovoisier looked good location reveiws positive booked 2 twin rooms, trip paris not stayed better hotel, friendly helpful, fabienne vanessa wondeful helping make reservations advising, metro staions close getting city easy, breakfast fresh tasty morning, neeshan delight helpful, rooms small clean quiet, bathroom shower little tricky no shower curtain door bathroom pretty wet showers, did feel unsafe ne",5,REV-0026,2024-01-23,positive,customer_service,high,friendly and helpful staff,2024-01,2024-01-22
"good business location stayed gran melia mexico reforma 2 nights, hotel location business travel tourists hotel not walking-distance city center yuo need use taxi.the room fine clean confortable.breakfast included rate goof breakfast buffet.the hotel good rate compare international hotels mexico city not really 5 stars hotel rate/quality fine.sorry english not perfect,  ",5,REV-0027,2024-01-24,neutral,value_for_money,low,good location and rate,2024-01,2024-01-22
"excellente stayed week wife, bit reluctant dominican republic hearing bad reports, stay excellance completely won over.everthing place class rooms spacious beds enormous comfortable, food restaurants superb drinks great day night.would recomend hotel definitely returning,  ",5,REV-0028,2024-01-25,positive,product_quality,high,excellent stay and amenities,2024-01,2024-01-22
"loved nadia, nadia great little hotel radhuisstraat right near anne frank house right near center centrum perfect location home base exploration amsterdam historic center, hotel comfortable staff superb friendly efficient, osam manager wonderful man kind helpful eager make sure needs met, notch choice hotel belies two-star status, real treat,  ",5,REV-0029,2024-01-26,positive,customer_service,high,friendly and efficient staff,2024-01,2024-01-22
"not nice place good freshly squeezed fruit juices morning, good rest beech horrible, lot sea weed dirty water constant noise motor boats party boats, smell gasoline boats day long, daughter got stung sea lice second day spent days taking cortisone steroid pills shots getting wounds cleaned doctors office, n't care 240 medical bills best vacation getting, spots looked like 2nd degree burns cleared 3 months, resort management did n't want responsibility beach federal property resort not responsibl",1,REV-0030,2024-01-27,negative,packaging,high,dirty and weedy beach,2024-01,2024-01-22
"magnificent property marred terrible service physical aspect condado visually fresh aesthetically pleasing, lobby room city view pool area casino joy, cubicle shower curious i.e. fun experience door leaks bit, balconies nice, pools fresh water salt water hot tub great shape n't tempted swim-up bar, no-password wi-fi not rooms property.unfortunately act actually staying resort task experience, rundown stay elevators operating second hotel row seen trying cut electricity costs, ten-story property ",1,REV-0031,2024-01-28,neutral,customer_service,high,mixed experience with service,2024-01,2024-01-22
"beautiful club lounge seen big fan sofitel asia natural consider property spending 7 nights sydney recently, hotel built 1960 considered landmark city, nice walk harbour great shopping restaurants, hotel completely renovated recently rooms stayed suite tastfully furnished not big fan blond wood finishes, fabrics linens excellent, bathroom bit small.the highlight hotel le club lounge available guests extra cost, finish design lounge absolutely beautiful, spacious array snacks drinks day including",5,REV-0032,2024-01-29,positive,product_quality,medium,beautiful hotel with great renovations,2024-01,2024-01-29
"secrets paradise absolutely loved secrets, husband celebrated anniversary paradise retreat june 18 22. run great could-have-been betters arrival-yes van ride hour long times plenty potholes not bad ride, u dominicans really live treated cows roadway, coulda reached touched them.arrival hotel-i ask mimosa room n't ready just meant went straight lunch buffet, yummy, decor-the place absolutely beautiful room magnificent, clean luxurious love jacuzzi, certainly did, online pictures n't justice, poin",5,REV-0033,2024-01-30,positive,general,low,fantastic anniversary getaway at secrets,2024-01,2024-01-29
"nice little hotel came sf business select reasonably priced hotel, pleasantly surprised hotel layne, family-run make feel welcome, rooms basic amenities ironing board blow dryer not fancy, bathroom spotless, neighborhood borders tenderloin streets little tricky panhandlers not worst seen, just use street smarts fine, stay, yes,  ",5,REV-0034,2024-01-31,positive,value_for_money,low,nice hotel at a reasonable price,2024-01,2024-01-29
"absolutely superb wife just returned night stay new york palace, left uk hotel extremely helpful answering questions booking restaurants arrived check-in swift friendly minutes thirtieth floor executive room spacious extremely comfortable equiped fine views st patrick cathedral, strongly recommend executive rooms benefits include use executive lounge serves complimentary buffet breakfast drinks lunch time snacks tea evening snacks, ate gilt restaurant night food superb standards, hotel staff fri",5,REV-0035,2024-01-31,positive,product_quality,medium,excellent hotel with great amenities,2024-01,2024-01-29
"nice hotel husband spent seven nights hotel december 29th january 5th great time, centrally located used metro buses taxis, city people enjoyed corner room 208 second floor balconies gran street, room bathroom spacious nicely furnished clean, lot storage space bed big comfortable lighting excellent, not bothered gran via__Ç_é_ noise windows closed room soundproofed, buffet breakfast included rate ok lot cold warm options, receptionists especially oscar ruth professional friendly polite extremely",5,REV-0036,2024-02-01,positive,customer_service,low,excellent customer service staff,2024-02,2024-01-29
"nice hotel husband spent seven nights hotel december 29th january 5th great time, centrally located used metro buses taxis, city people enjoyed corner room 208 second floor balconies gran street, room bathroom spacious nicely furnished clean, lot storage space bed big comfortable lighting excellent, not bothered gran via__Ç_é_ noise windows closed room soundproofed, buffet breakfast included rate ok lot cold warm options, receptionists especially oscar ruth professional friendly polite extremely",5,REV-0036,2024-02-01,positive,product_quality,low,hotel very clean spacious well furnished,2024-02,2024-01-29
"nice hotel husband spent seven nights hotel december 29th january 5th great time, centrally located used metro buses taxis, city people enjoyed corner room 208 second floor balconies gran street, room bathroom spacious nicely furnished clean, lot storage space bed big comfortable lighting excellent, not bothered gran via__Ç_é_ noise windows closed room soundproofed, buffet breakfast included rate ok lot cold warm options, receptionists especially oscar ruth professional friendly polite extremely",5,REV-0036,2024-02-01,positive,packaging,low,room soundproofed great,2024-02,2024-01-29
"nice hotel husband spent seven nights hotel december 29th january 5th great time, centrally located used metro buses taxis, city people enjoyed corner room 208 second floor balconies gran street, room bathroom spacious nicely furnished clean, lot storage space bed big comfortable lighting excellent, not bothered gran via__Ç_é_ noise windows closed room soundproofed, buffet breakfast included rate ok lot cold warm options, receptionists especially oscar ruth professional friendly polite extremely",5,REV-0036,2024-02-01,positive,value_for_money,low,reasonable rate excellent breakfast,2024-02,2024-01-29
"excellent hotel clean good food excellent staff freindly people, good value money included breakfast taxes, good location just opposite central station tram station corner, excellent selection tourist information foyer rooms, walking tour buy guide old city hotel reception,  ",5,REV-0037,2024-02-02,positive,product_quality,low,hotel clean good food excellent staff,2024-02,2024-01-29
"excellent hotel clean good food excellent staff freindly people, good value money included breakfast taxes, good location just opposite central station tram station corner, excellent selection tourist information foyer rooms, walking tour buy guide old city hotel reception,  ",5,REV-0037,2024-02-02,positive,value_for_money,low,good value for money included breakfast taxes,2024-02,2024-01-29
"excellent hotel clean good food excellent staff freindly people, good value money included breakfast taxes, good location just opposite central station tram station corner, excellent selection tourist information foyer rooms, walking tour buy guide old city hotel reception,  ",5,REV-0037,2024-02-02,positive,general,low,excellent selection tourist information foyer,2024-02,2024-01-29
"thanks tripadvisor, visited march weather perfect, booked month early used aaa rate, economical used tripadvisor reviews make choice, arrived checked luggage rooms not quite ready, receptions staff great, lobby hearkens early 20th century bavarian hotels, nice, daily tea available guests afternoons.room great, no ac bay need summer, room looked similar pictures website spacious flat screen tv wall mounted no furniture desk extra chair present, beds bit old comfortable, bathroom cleanthere good c",5,REV-0038,2024-02-03,positive,customer_service,low,reception staff great very helpful,2024-02,2024-01-29
"thanks tripadvisor, visited march weather perfect, booked month early used aaa rate, economical used tripadvisor reviews make choice, arrived checked luggage rooms not quite ready, receptions staff great, lobby hearkens early 20th century bavarian hotels, nice, daily tea available guests afternoons.room great, no ac bay need summer, room looked similar pictures website spacious flat screen tv wall mounted no furniture desk extra chair present, beds bit old comfortable, bathroom cleanthere good c",5,REV-0038,2024-02-03,positive,product_quality,low,room great clean large flat screen tv,2024-02,2024-01-29
"thanks tripadvisor, visited march weather perfect, booked month early used aaa rate, economical used tripadvisor reviews make choice, arrived checked luggage rooms not quite ready, receptions staff great, lobby hearkens early 20th century bavarian hotels, nice, daily tea available guests afternoons.room great, no ac bay need summer, room looked similar pictures website spacious flat screen tv wall mounted no furniture desk extra chair present, beds bit old comfortable, bathroom cleanthere good c",5,REV-0038,2024-02-03,neutral,packaging,low,no ac bay need summer room ok,2024-02,2024-01-29
"great location spent 5 nights h10 montcada, aerobus airport placa catalunya convenient good deal 4.10 euro, arriving early sunday morning decided skip metro walked rest way, quickly realized centrally located hotel, smallest hotel room stayed laid functional comfortable, room 7th floor facing street, street noise view great, waking morning seeing cathedral roman wall just street amazing, church bells start 6am city literally comes life.the location perfect want explore gothic area, port parc la ",5,REV-0039,2024-02-04,positive,delivery,low,excellent location convenient to airport tram,2024-02,2024-01-29
"great location spent 5 nights h10 montcada, aerobus airport placa catalunya convenient good deal 4.10 euro, arriving early sunday morning decided skip metro walked rest way, quickly realized centrally located hotel, smallest hotel room stayed laid functional comfortable, room 7th floor facing street, street noise view great, waking morning seeing cathedral roman wall just street amazing, church bells start 6am city literally comes life.the location perfect want explore gothic area, port parc la ",5,REV-0039,2024-02-04,positive,product_quality,low,comfortable room with great street view,2024-02,2024-01-29
"loved staff stayed nights november 2007. time venice unfamiliar, walked directly boat straight ahead asked hotel daniel directions, called stephano met minutes, short short walk alley, no dragging luggage forever streets, carried luggage upstairs poor guy, surprised double room balconey, modern pristine fresh smelling clean, bathroom gorgeous, felt luxurious comforting, safe phone window balconey stocked mini bar, heaven, stephano professional helpful kind, breakfast fine, ordered 3 coffee no di",5,REV-0040,2024-02-05,positive,customer_service,low,staff extremely helpful professional kind,2024-02,2024-02-05
"loved staff stayed nights november 2007. time venice unfamiliar, walked directly boat straight ahead asked hotel daniel directions, called stephano met minutes, short short walk alley, no dragging luggage forever streets, carried luggage upstairs poor guy, surprised double room balconey, modern pristine fresh smelling clean, bathroom gorgeous, felt luxurious comforting, safe phone window balconey stocked mini bar, heaven, stephano professional helpful kind, breakfast fine, ordered 3 coffee no di",5,REV-0040,2024-02-05,positive,product_quality,low,modern pristine fresh smelling clean room,2024-02,2024-02-05
"loved staff stayed nights november 2007. time venice unfamiliar, walked directly boat straight ahead asked hotel daniel directions, called stephano met minutes, short short walk alley, no dragging luggage forever streets, carried luggage upstairs poor guy, surprised double room balconey, modern pristine fresh smelling clean, bathroom gorgeous, felt luxurious comforting, safe phone window balconey stocked mini bar, heaven, stephano professional helpful kind, breakfast fine, ordered 3 coffee no di",5,REV-0040,2024-02-05,positive,value_for_money,low,double room balcony luxurious safe stocked mini,2024-02,2024-02-05
"great place little gem great, checked hotels internet making booking glad did homework, central absolutely rooms lovely staff friendly, ask room number huge chandelers ground floor no steep stairs negotiate drinks, going amsterdam definitely stay,  ",5,REV-0041,2024-02-06,neutral,general,low,tagging failed,2024-02,2024-02-05
"beautiful gardens husband booked 10 night stay celebrated 40th birthday, following long journey uk finally arraived hyatt greeted lovely smiling staff bearing lei garlands cold fruit juice, check easy straight forward shown room- 2301 overlooked absolutely stunning gardens, huge sun terrace 2 sun loungers parasol addition small patio table chairs, no sign dampness room spotlessly clean, upgraded regency club recommend, regency lounge peaceful perfect way start day gentle breakfast overlooking pr",5,REV-0042,2024-02-07,neutral,general,low,tagging failed,2024-02,2024-02-05
"thanks crowne plaza stayed feb 12-19 2006. loved hotel, oversized junior suite corner room spacious sitting area, staff hotel pleasant, single one.the hotel convenient central, n't far, conference moscone center pleasant 5-10 min, walk.when left forgot sentimental blanket baby crib, forgot 2 weeks surprise kept blanket, not mailed expense, service.thanks crowne plaza san francisco wonderful stay,  ",5,REV-0043,2024-02-08,neutral,general,low,tagging failed,2024-02,2024-02-05
"booklover retreat millionaire terrace wife returned library hotel november 2004. thermostat room controlled functioned simply efficiently, bathrobes hung closet hangers said trust guests, know does not sound like returning italy having none elated.each room stocked books specific categories vcr, terrace reminds photo shoot glamourous magazine, purchase bottle wine well-stocked shop madison avenue 40th street sent terrace, smokers indulge, chinesedelivered room enjoyed cozy room blocks nyc librar",5,REV-0044,2024-02-09,neutral,general,low,tagging failed,2024-02,2024-02-05
"charming hotel great location pleased alexis, charming little hotel walking distance pike market shops restaurants needed, staff friendly courteous especially valet staff bell hops, comfortable hotel beds slept,  ",5,REV-0045,2024-02-10,neutral,general,low,tagging failed,2024-02,2024-02-05
"good just good night stay hotel happy aspect experience initial contact booking car parking porter service.various people praised staff add praise quite refreshing visit hotel staff really care.the minor grumble shower room fairly useless.we use hotel,  ",5,REV-0046,2024-02-10,positive,customer_service,high,Staff really care,2024-02,2024-02-05
"clean no frills holiday inn express condado area san juan clean comfortable quiet hotel, continental breakfast served no restaurant, recommend hotel one-night stay not,  ",1,REV-0047,2024-02-11,positive,value_for_money,low,Clean and quiet hotel,2024-02,2024-02-05
"iberostar fantastic just returned trip dominican republic punta cana, best vacations on.the staff iberostar willing help guests, smiling helpful, servers activities staff helpful.when arrived not happy room, damp musty smell, did not view, hotel gave upgraded room day thoroughly enjoyed.the food fantastic high quality huge menu selection, got bored food, different lunch dinner buffets, breakfast buffet day huge selection not problem all.the la carte restaurants fantastic, went rock cafe pagoda m",5,REV-0048,2024-02-12,positive,product_quality,high,Fantastic food and staff,2024-02,2024-02-12
"great location read reviews saying rooms small dirty little apprehensive, room quite large having 3 windows looking hotel quiet, furnishings need update room clean, bathroom large, good separate area smokers breakfast room, good selection food, staff friendly helpful, no hesitation staying,  ",5,REV-0049,2024-02-13,positive,value_for_money,high,Good location and friendly staff,2024-02,2024-02-12
"not bad, stayed nights husband mid october year.we originally booked stay agon frankfurter allee got hotel double booked, need n't worried immediately transported hotel taxi paid hotel chain pleased, staff pleasant rooms clean, breakfast buffett style nice.the room husband got like apartment small kitchen area balcony good view, bathroom shower clean easy use hotel 5/10 minutes walk alexanderplatz, recommend going tv tower early queues long, recommend tour bus takes approx, 2 hours, worth doing,",5,REV-0050,2024-02-14,positive,product_quality,low,Clean and pleasant stay,2024-02,2024-02-12
"nice resort stay bahia prinicipe week april 12 april 19 3 couples area, nice resort, requested couples place villas needless say 3 couples stayed villa 15 stuck villa 11. told just short walk believed did not realize just big resort, pool kids club, not big deal did request prior leaving states arrived resort, resort clean neat freak resort passes high standards, cleaning polishing, food ok serving people like repeats main things, 3 al carte restaurants managed sneak 2 meals cancellations, check",5,REV-0051,2024-02-15,positive,general,low,nice resort stay experience,2024-02,2024-02-12
"wonderful hotel fantastic hotel fantastic location fantastic staff, boyfriend stayed weekend city break loved minute it.location right middle, really fun bars clubs comedy clubs just outside hotel door, liedseplein great food/drink dancing night away, recommend bulldog bit cliched hey dam, tram stops musuem district canal tour pick point tourist information fashion district casino 5 mins walking distance, red light district centraal station littel away no 10 min tram ride beds amazing spacious, ",5,REV-0052,2024-02-16,positive,general,low,fantastic hotel location staff,2024-02,2024-02-12
"great experience marriott city wall just returned weeks china stop beijing stayed new marriott city wall, comfortable staff attentive helpful, 8 weeks old arrived obviously beautifully, equipped room amenity, staff n't delightful, worked different concierges efficient possible, enjoyed buffet breakfast morning staff remembered morning, guys hotel helped taxi, terrific, location convenient taxi ride necessary main historical sights, wonderful guide days johanna unfortunately not email, need guide",5,REV-0053,2024-02-17,positive,general,low,great experience marriott hotel,2024-02,2024-02-12
"treated like royalty treated like royalty, quite possibly finest hotel i__Ç_ée experienced, treatment__Ç started arrived, day visit realized forgotten exactly reservations called jury__Ç_é_ remembered hotels came highly recommended trip advisor reviews, recollection booked dates needed recommended boutique hotel area, spoke gentleman named dan later learned deputy general manager, great surprise offered hotels behalf reservation, clearly no benefit provide service believed not staying hotel, sp",5,REV-0054,2024-02-18,positive,general,low,treated like royalty hotel,2024-02,2024-02-12
"perfect location location location location, walking distance major points interest.rooms soundproof real effective 6th floor spacious clean room.should barcelona no doubt book royal again.breakfast not best absolutely starts 7am wake early ok 5 range 1 10,  ",1,REV-0055,2024-02-19,positive,general,low,perfect hotel location,2024-02,2024-02-19
"nice grounds pathetic service standards perspective frequent business traveler member highest tier hotel chain frequent stay program.good grounds nicely manicured original frank lloyd wright buildings iconic, service biltmore grill good, upgraded king room spacious.bad pathetic service starts arrival, valet/bell desk not offer help luggage, desk keys n't work causing return keys, 5 minute walk room summer 100+ degree temperatures, clock radio broken, coffee maker request none room delivered used",1,REV-0056,2024-02-20,negative,customer_service,high,pathetic service at biltmore grill,2024-02,2024-02-19
"ok not great, stayed weekend beginning september.check-in fine nice friendly receptionist promised great room nice good size nicely decorated good bathroom.it late hungry tried georgetown restaurant honest pretty poor, ordinary food i.e, better no chef means not-so-cheap prices, definitely _not_ eat here.next morning breakfast downstairs 2nd restaurant ok. restaurant kind cramped cooked food buffet style alright, apart chap appeared running place rest staff little like zombies asked nor care enj",1,REV-0057,2024-02-20,negative,customer_service,high,poor service at georgetown restaurant,2024-02,2024-02-19
