subject,sex,age,G1,G2,G3,failures,absences,studytime_label,higher,risk_score
Portuguese,F,17,8,8,0,0,0,2-5 hrs,yes,6
Math,M,18,9,8,8,0,2,>10 hrs,yes,6
Portuguese,M,17,9,10,10,1,0,<2 hrs,yes,6
Math,F,17,7,7,7,0,6,5-10 hrs,yes,6
Portuguese,M,16,9,9,9,0,2,2-5 hrs,yes,6
Math,F,19,8,8,8,0,10,>10 hrs,yes,6
Math,F,17,6,6,6,0,2,2-5 hrs,yes,6
Math,F,18,7,0,0,0,0,2-5 hrs,yes,6
Math,F,18,8,8,0,0,0,2-5 hrs,yes,6
Math,F,17,10,9,9,1,28,5-10 hrs,yes,6
Portuguese,M,15,7,9,9,0,8,2-5 hrs,yes,6
Portuguese,F,20,8,10,10,1,5,<2 hrs,yes,6
Math,F,18,7,0,0,0,0,5-10 hrs,yes,6
Math,M,17,9,9,10,0,2,2-5 hrs,yes,6
Math,F,17,7,8,0,0,0,2-5 hrs,yes,6
Portuguese,M,15,7,8,8,0,0,2-5 hrs,yes,6
Math,F,18,8,9,10,0,4,2-5 hrs,yes,6
Math,F,18,8,8,0,0,0,2-5 hrs,yes,6
Math,M,18,8,8,8,0,2,2-5 hrs,yes,6
Portuguese,M,16,9,10,10,1,6,<2 hrs,yes,6
Portuguese,F,18,10,9,8,3,10,2-5 hrs,no,6
Portuguese,F,19,9,10,11,2,0,2-5 hrs,no,6
Math,M,21,10,8,7,3,3,<2 hrs,yes,6
Portuguese,F,16,8,10,10,1,12,2-5 hrs,yes,6
Math,F,18,7,9,8,0,0,2-5 hrs,yes,6
Portuguese,M,16,9,9,10,0,6,2-5 hrs,yes,6
Portuguese,F,17,6,9,11,0,0,2-5 hrs,yes,6
Math,F,17,5,5,6,0,4,2-5 hrs,yes,6
Math,F,15,7,8,8,0,8,>10 hrs,yes,6
Math,M,15,9,9,9,0,8,2-5 hrs,yes,6
Math,F,16,8,9,10,0,2,2-5 hrs,yes,6
Portuguese,F,18,7,5,0,0,0,2-5 hrs,yes,6
Portuguese,M,19,6,11,9,3,4,<2 hrs,yes,6
Portuguese,F,16,6,8,8,0,6,2-5 hrs,yes,6
Math,M,15,9,0,0,0,0,2-5 hrs,yes,6
Math,F,16,7,7,8,0,0,5-10 hrs,yes,6
Math,F,16,7,9,8,0,0,5-10 hrs,yes,6
Math,F,16,7,6,6,0,4,2-5 hrs,yes,6
Portuguese,F,17,7,7,8,0,0,5-10 hrs,yes,6
Portuguese,F,19,9,10,11,1,5,<2 hrs,yes,6
Portuguese,M,17,8,9,9,0,4,2-5 hrs,yes,6
Portuguese,M,16,7,0,0,0,0,2-5 hrs,yes,6
Portuguese,M,17,9,9,10,0,6,2-5 hrs,yes,6
Portuguese,F,18,8,8,8,0,4,2-5 hrs,yes,6
Portuguese,M,15,7,9,8,0,7,2-5 hrs,yes,6
Portuguese,F,18,9,8,10,0,8,2-5 hrs,yes,6
Math,F,17,8,8,9,0,0,2-5 hrs,yes,6
Math,M,17,8,9,10,0,4,2-5 hrs,yes,6
Portuguese,F,16,9,10,10,1,1,<2 hrs,yes,6
Portuguese,M,17,10,9,9,1,0,<2 hrs,yes,6
Portuguese,M,16,8,7,0,0,0,2-5 hrs,yes,6
Math,M,15,7,9,0,0,0,>10 hrs,yes,6
Math,F,16,9,9,10,0,0,2-5 hrs,yes,6
Math,F,17,9,9,10,0,4,2-5 hrs,yes,6
Math,F,17,8,7,9,0,6,2-5 hrs,yes,6
Math,M,17,6,5,6,0,4,2-5 hrs,yes,6
Math,M,16,9,8,8,0,10,2-5 hrs,yes,6
Math,F,16,6,7,0,0,0,2-5 hrs,yes,6
Portuguese,F,16,7,9,8,0,2,2-5 hrs,yes,6
Math,F,17,6,5,6,0,6,2-5 hrs,yes,6
Math,F,18,5,6,6,0,6,2-5 hrs,yes,6
Math,F,16,8,7,8,0,0,2-5 hrs,yes,6
Math,F,16,8,7,6,0,4,2-5 hrs,yes,6
Portuguese,M,16,9,7,8,0,2,2-5 hrs,yes,6
Portuguese,F,16,8,8,8,0,4,2-5 hrs,yes,6
Portuguese,M,18,9,10,9,0,0,<2 hrs,no,5
Math,F,17,8,10,10,0,12,<2 hrs,yes,5
Portuguese,M,18,10,9,10,3,9,2-5 hrs,yes,5
Portuguese,M,19,11,9,11,0,6,<2 hrs,no,5
Math,F,18,10,9,9,0,75,2-5 hrs,no,5
Portuguese,M,19,9,10,11,1,0,5-10 hrs,yes,5
Portuguese,M,18,9,11,12,0,11,2-5 hrs,no,5
Portuguese,F,21,9,12,12,2,0,5-10 hrs,yes,5
Portuguese,M,16,9,11,10,1,4,2-5 hrs,yes,5
Portuguese,M,17,8,10,9,0,8,<2 hrs,no,5
Portuguese,F,19,10,11,11,1,16,<2 hrs,no,5
Portuguese,F,18,12,9,10,0,15,2-5 hrs,no,5
Portuguese,M,17,9,10,10,0,0,<2 hrs,no,5
Math,M,16,12,11,12,1,16,<2 hrs,no,5
Portuguese,F,16,10,8,8,1,0,5-10 hrs,yes,5
Portuguese,F,17,9,10,11,0,2,<2 hrs,no,5
Portuguese,F,15,9,10,9,0,0,<2 hrs,no,5
Portuguese,F,20,11,9,10,1,8,2-5 hrs,yes,5
Portuguese,M,17,10,8,9,1,2,>10 hrs,yes,5
Math,F,15,12,0,0,2,0,5-10 hrs,yes,5
Math,F,15,7,10,10,1,2,>10 hrs,yes,5
Math,F,16,7,10,10,1,0,5-10 hrs,yes,5
Portuguese,M,18,9,10,10,0,3,<2 hrs,no,5
Portuguese,M,17,8,13,10,0,0,<2 hrs,no,5
Portuguese,M,19,10,9,11,1,8,2-5 hrs,yes,5
