id_student,code_module,code_presentation,risk_tier,dropout_risk_score,final_result
231554,AAA,2013J,Medium,4.61,Pass
235507,AAA,2013J,Critical,7.86,Withdrawn
236284,AAA,2013J,Medium,4.4,Pass
238007,AAA,2013J,Medium,3.96,Pass
240712,AAA,2013J,Medium,4.55,Pass
240884,AAA,2013J,Medium,4.8,Pass
241649,AAA,2013J,Medium,4.04,Pass
241729,AAA,2013J,Medium,4.6,Fail
242793,AAA,2013J,Medium,4.61,Pass
246834,AAA,2013J,Medium,4.74,Pass
248270,AAA,2013J,Medium,4.12,Pass
255548,AAA,2013J,Medium,4.29,Pass
256815,AAA,2013J,Medium,4.27,Pass
258392,AAA,2013J,Medium,4.94,Pass
258894,AAA,2013J,Medium,4.0,Pass
260355,AAA,2013J,Critical,7.93,Withdrawn
262011,AAA,2013J,Medium,4.67,Pass
262934,AAA,2013J,Medium,4.3,Pass
268073,AAA,2013J,Medium,4.26,Fail
268733,AAA,2013J,Critical,8.51,Withdrawn
271251,AAA,2013J,Medium,4.05,Pass
277880,AAA,2013J,High,7.48,Withdrawn
279572,AAA,2013J,Medium,4.45,Distinction
281022,AAA,2013J,Medium,4.68,Pass
281250,AAA,2013J,Medium,5.03,Fail
281589,AAA,2013J,High,6.47,Fail
282821,AAA,2013J,Medium,4.74,Pass
286488,AAA,2013J,Medium,4.44,Pass
287548,AAA,2013J,Medium,4.6,Pass
290201,AAA,2013J,Medium,4.53,Pass
290757,AAA,2013J,Medium,4.69,Pass
291334,AAA,2013J,Low,3.47,Distinction
292923,AAA,2013J,Critical,9.3,Withdrawn
293699,AAA,2013J,Medium,5.2,Pass
294570,AAA,2013J,Medium,4.11,Pass
294594,AAA,2013J,Medium,4.75,Pass
295741,AAA,2013J,Medium,4.15,Fail
296332,AAA,2013J,Medium,3.9,Distinction
298696,AAA,2013J,Medium,4.34,Pass
300398,AAA,2013J,Medium,4.31,Pass
302302,AAA,2013J,Medium,5.09,Fail
305152,AAA,2013J,Medium,5.01,Fail
305386,AAA,2013J,Medium,4.31,Pass
305539,AAA,2013J,Critical,9.31,Withdrawn
306107,AAA,2013J,Medium,4.8,Pass
306466,AAA,2013J,Medium,4.09,Pass
306897,AAA,2013J,Medium,4.33,Pass
307061,AAA,2013J,Medium,4.35,Pass
307866,AAA,2013J,Medium,4.71,Pass
311917,AAA,2013J,Medium,4.49,Pass
312537,AAA,2013J,Low,2.77,Distinction
312782,AAA,2013J,Medium,4.74,Pass
318933,AAA,2013J,Medium,4.44,Pass
319047,AAA,2013J,Medium,3.61,Pass
321942,AAA,2013J,Low,3.19,Pass
324002,AAA,2013J,Medium,4.21,Pass
324084,AAA,2013J,Medium,4.7,Pass
324282,AAA,2013J,Medium,4.78,Pass
331358,AAA,2013J,High,7.11,Withdrawn
332789,AAA,2013J,Medium,4.42,Pass
333059,AAA,2013J,Medium,4.93,Pass
333323,AAA,2013J,Medium,4.52,Pass
334259,AAA,2013J,Medium,5.2,Fail
334333,AAA,2013J,Critical,8.73,Withdrawn
335764,AAA,2013J,High,7.06,Withdrawn
336207,AAA,2013J,Medium,4.36,Pass
339972,AAA,2013J,Medium,5.04,Pass
341872,AAA,2013J,Medium,4.89,Fail
342007,AAA,2013J,High,7.34,Withdrawn
342514,AAA,2013J,Medium,4.31,Pass
342972,AAA,2013J,Medium,4.96,Pass
343446,AAA,2013J,Medium,3.9,Pass
344282,AAA,2013J,Medium,5.25,Fail
345068,AAA,2013J,Medium,4.48,Pass
345357,AAA,2013J,Medium,4.19,Distinction
346025,AAA,2013J,Medium,4.28,Pass
346843,AAA,2013J,High,6.4,Fail
350188,AAA,2013J,Medium,4.41,Pass
354858,AAA,2013J,Critical,9.27,Withdrawn
357668,AAA,2013J,Medium,5.13,Fail
364177,AAA,2013J,Medium,4.61,Fail
365244,AAA,2013J,Medium,5.02,Pass
365642,AAA,2013J,Medium,4.33,Pass
366483,AAA,2013J,Medium,4.3,Pass
368194,AAA,2013J,Medium,5.13,Pass
368824,AAA,2013J,Medium,5.05,Fail
368963,AAA,2013J,Medium,4.9,Pass
376439,AAA,2013J,Medium,3.96,Distinction
376581,AAA,2013J,Medium,4.2,Pass
380953,AAA,2013J,Medium,4.46,Pass
383254,AAA,2013J,Medium,4.32,Pass
386924,AAA,2013J,Medium,4.83,Pass
386952,AAA,2013J,Medium,4.45,Pass
388722,AAA,2013J,Medium,4.68,Pass
388885,AAA,2013J,Medium,4.71,Pass
390890,AAA,2013J,Critical,7.76,Withdrawn
392756,AAA,2013J,Medium,5.14,Fail
392931,AAA,2013J,Medium,4.2,Pass
393207,AAA,2013J,Medium,4.54,Pass
396872,AAA,2013J,Medium,4.77,Pass
398552,AAA,2013J,Medium,4.87,Fail
401869,AAA,2013J,Medium,4.54,Pass
402470,AAA,2013J,Medium,4.48,Pass
404804,AAA,2013J,Medium,5.37,Pass
405088,AAA,2013J,Medium,4.48,Pass
405961,AAA,2013J,Critical,9.3,Withdrawn
414117,AAA,2013J,Medium,4.38,Pass
415969,AAA,2013J,Critical,7.97,Withdrawn
420087,AAA,2013J,Medium,4.74,Fail
429958,AAA,2013J,Medium,4.92,Pass
441018,AAA,2013J,Medium,4.81,Pass
441888,AAA,2013J,Medium,4.77,Pass
442442,AAA,2013J,Critical,8.25,Withdrawn
444677,AAA,2013J,Medium,4.1,Distinction
470588,AAA,2013J,Critical,7.54,Withdrawn
489455,AAA,2013J,Medium,4.39,Pass
494424,AAA,2013J,High,6.32,Fail
495284,AAA,2013J,Medium,4.55,Pass
498857,AAA,2013J,Medium,4.38,Pass
508818,AAA,2013J,Medium,4.61,Pass
512460,AAA,2013J,Medium,4.48,Pass
544103,AAA,2013J,Medium,4.2,Pass
550383,AAA,2013J,Medium,4.54,Pass
564450,AAA,2013J,Medium,4.87,Fail
568601,AAA,2013J,Critical,7.72,Withdrawn
572652,AAA,2013J,Medium,4.56,Pass
580389,AAA,2013J,Medium,4.47,Pass
581129,AAA,2013J,High,5.56,Fail
588775,AAA,2013J,Low,3.28,Pass
591774,AAA,2013J,Medium,4.46,Pass
603861,AAA,2013J,Critical,7.6,Withdrawn
606143,AAA,2013J,Medium,4.79,Fail
704156,AAA,2013J,Medium,4.23,Pass
705379,AAA,2013J,Medium,3.6,Distinction
721259,AAA,2013J,Critical,7.91,Withdrawn
749412,AAA,2013J,Medium,3.96,Pass
760729,AAA,2013J,Low,3.48,Distinction
905042,AAA,2013J,Medium,3.93,Pass
949618,AAA,2013J,Medium,4.67,Pass
958987,AAA,2013J,Medium,4.38,Pass
968578,AAA,2013J,Medium,4.61,Pass
969076,AAA,2013J,High,7.49,Withdrawn
971027,AAA,2013J,Medium,4.12,Pass
978739,AAA,2013J,Medium,4.11,Pass
1035023,AAA,2013J,Medium,4.38,Pass
1105478,AAA,2013J,Medium,4.04,Pass
1352868,AAA,2013J,Critical,7.77,Withdrawn
1401935,AAA,2013J,High,5.51,Fail
1402638,AAA,2013J,Medium,4.55,Pass
1414443,AAA,2013J,Medium,4.97,Fail
1456619,AAA,2013J,Critical,7.91,Withdrawn
1465690,AAA,2013J,Medium,3.96,Pass
1472925,AAA,2013J,Medium,4.68,Fail
1488959,AAA,2013J,Medium,4.29,Pass
1518989,AAA,2013J,Medium,4.05,Pass
1618738,AAA,2013J,Medium,4.43,Pass
1620151,AAA,2013J,Medium,4.49,Fail
1626710,AAA,2013J,Medium,3.53,Distinction
1640609,AAA,2013J,Medium,3.66,Pass
1686521,AAA,2013J,Critical,7.91,Withdrawn
1729319,AAA,2013J,Medium,4.2,Pass
1746134,AAA,2013J,Medium,4.22,Pass
1758449,AAA,2013J,Critical,7.82,Withdrawn
1763015,AAA,2013J,Critical,9.43,Withdrawn
1765788,AAA,2013J,Medium,3.78,Pass
1801229,AAA,2013J,Medium,4.42,Pass
1801641,AAA,2013J,Medium,4.63,Pass
1847830,AAA,2013J,Medium,3.78,Pass
1860318,AAA,2013J,Medium,4.01,Pass
1889511,AAA,2013J,Medium,4.42,Pass
1889577,AAA,2013J,Medium,4.48,Pass
1894188,AAA,2013J,Medium,4.13,Pass
1938355,AAA,2013J,Medium,4.12,Pass
1942396,AAA,2013J,Medium,5.05,Pass
1970390,AAA,2013J,High,6.23,Withdrawn
1976139,AAA,2013J,Medium,4.7,Pass
2011876,AAA,2013J,Medium,4.28,Pass
2012966,AAA,2013J,Medium,4.61,Pass
2051699,AAA,2013J,Medium,4.48,Pass
2062879,AAA,2013J,Medium,4.44,Fail
2065691,AAA,2013J,Critical,8.49,Withdrawn
2073016,AAA,2013J,Critical,7.84,Withdrawn
2080474,AAA,2013J,Medium,4.44,Pass
2083877,AAA,2013J,Medium,4.84,Pass
2084066,AAA,2013J,Medium,4.72,Fail
2104505,AAA,2013J,Medium,4.92,Pass
2122180,AAA,2013J,Medium,3.72,Distinction
2139353,AAA,2013J,Critical,7.51,Withdrawn
2143752,AAA,2013J,Medium,4.78,Pass
2146792,AAA,2013J,Medium,4.27,Pass
2149225,AAA,2013J,Critical,9.32,Withdrawn
2153153,AAA,2013J,Medium,4.52,Pass
2155014,AAA,2013J,Medium,4.43,Pass
2164705,AAA,2013J,Medium,4.99,Fail
2171627,AAA,2013J,Medium,4.65,Pass
2182846,AAA,2013J,Medium,4.13,Pass
2194100,AAA,2013J,Medium,4.55,Pass
2197016,AAA,2013J,Medium,4.51,Pass
2208424,AAA,2013J,Medium,4.67,Pass
2229865,AAA,2013J,Medium,4.08,Pass
2255601,AAA,2013J,Critical,7.78,Withdrawn
2268379,AAA,2013J,Medium,4.25,Pass
2278464,AAA,2013J,Medium,5.18,Pass
2293923,AAA,2013J,Medium,4.81,Pass
2312620,AAA,2013J,Critical,8.59,Withdrawn
2318055,AAA,2013J,Critical,7.61,Withdrawn
2324976,AAA,2013J,Critical,9.3,Withdrawn
2329342,AAA,2013J,Medium,5.01,Pass
2339528,AAA,2013J,Medium,4.57,Distinction
2342426,AAA,2013J,Medium,4.47,Fail
2344901,AAA,2013J,Medium,5.11,Fail
2358056,AAA,2013J,Medium,4.48,Fail
2358969,AAA,2013J,Critical,7.69,Withdrawn
2364471,AAA,2013J,Low,3.27,Pass
2365101,AAA,2013J,Critical,9.53,Withdrawn
2367155,AAA,2013J,Medium,4.24,Pass
2369266,AAA,2013J,Medium,4.84,Pass
2376496,AAA,2013J,Medium,4.61,Pass
2391984,AAA,2013J,Critical,7.52,Withdrawn
2411661,AAA,2013J,Medium,5.12,Fail
2411778,AAA,2013J,Critical,7.65,Withdrawn
2412002,AAA,2013J,Medium,3.82,Distinction
2412967,AAA,2013J,Medium,3.98,Pass
2429854,AAA,2013J,Critical,8.27,Withdrawn
2437837,AAA,2013J,Medium,4.38,Pass
2449878,AAA,2013J,Medium,4.96,Pass
2456480,AAA,2013J,High,5.66,Fail
2457256,AAA,2013J,Medium,4.39,Pass
2458355,AAA,2013J,Low,3.43,Pass
2460080,AAA,2013J,Medium,3.83,Pass
2461190,AAA,2013J,Medium,4.96,Fail
2469673,AAA,2013J,Medium,5.37,Fail
2470694,AAA,2013J,Critical,7.57,Withdrawn
2479954,AAA,2013J,Medium,4.55,Pass
2481901,AAA,2013J,Medium,4.24,Pass
2482700,AAA,2013J,Medium,4.59,Pass
2486127,AAA,2013J,Medium,4.26,Pass
2498700,AAA,2013J,Medium,4.14,Pass
2516503,AAA,2013J,Medium,3.95,Pass
2518069,AAA,2013J,Medium,4.21,Pass
2521459,AAA,2013J,Medium,4.79,Pass
2523736,AAA,2013J,Medium,4.91,Pass
2529279,AAA,2013J,Medium,4.4,Pass
2532302,AAA,2013J,Medium,4.64,Pass
2536991,AAA,2013J,Medium,4.17,Distinction
2542724,AAA,2013J,Critical,9.43,Withdrawn
2550279,AAA,2013J,Medium,4.39,Pass
2551220,AAA,2013J,Medium,4.36,Pass
2552472,AAA,2013J,Critical,8.12,Withdrawn
2555340,AAA,2013J,Medium,3.74,Pass
2557283,AAA,2013J,Low,3.36,Pass
2559575,AAA,2013J,Medium,4.71,Pass
2562034,AAA,2013J,Medium,4.82,Pass
2566163,AAA,2013J,Medium,4.38,Pass
2566592,AAA,2013J,Medium,4.37,Pass
2569324,AAA,2013J,Critical,7.69,Withdrawn
2574528,AAA,2013J,Medium,4.49,Pass
2574583,AAA,2013J,Medium,4.29,Pass
2576122,AAA,2013J,Critical,7.96,Withdrawn
2578995,AAA,2013J,Medium,4.23,Pass
2586560,AAA,2013J,Medium,4.15,Pass
2594139,AAA,2013J,Medium,4.46,Pass
2598871,AAA,2013J,Medium,4.22,Pass
2599352,AAA,2013J,Medium,4.51,Pass
2600688,AAA,2013J,Medium,4.83,Pass
2606098,AAA,2013J,Medium,4.53,Pass
2613116,AAA,2013J,Medium,4.48,Pass
2617002,AAA,2013J,Medium,4.52,Pass
2620584,AAA,2013J,High,6.45,Fail
2639449,AAA,2013J,Medium,5.02,Pass
2639540,AAA,2013J,Medium,4.04,Pass
2639641,AAA,2013J,Medium,4.45,Pass
2641155,AAA,2013J,Medium,3.8,Pass
2643002,AAA,2013J,Medium,4.67,Pass
2645733,AAA,2013J,Medium,4.18,Pass
2649826,AAA,2013J,Medium,3.57,Distinction
2650282,AAA,2013J,Medium,4.54,Pass
2664024,AAA,2013J,Medium,4.6,Pass
2666246,AAA,2013J,Medium,4.43,Pass
2669816,AAA,2013J,Medium,4.88,Fail
2671132,AAA,2013J,Medium,4.4,Pass
2676809,AAA,2013J,Medium,5.4,Fail
2678643,AAA,2013J,Medium,4.28,Pass
2685865,AAA,2013J,Medium,4.0,Pass
2688067,AAA,2013J,Medium,4.88,Pass
2689958,AAA,2013J,Medium,3.68,Distinction
2691206,AAA,2013J,Medium,3.87,Distinction
2691244,AAA,2013J,Medium,4.92,Pass
2694424,AAA,2013J,Medium,3.75,Pass
2698257,AAA,2013J,Medium,4.62,Pass
6516,AAA,2014J,Medium,4.29,Pass
24734,AAA,2014J,Medium,5.1,Pass
26192,AAA,2014J,Medium,4.02,Distinction
28061,AAA,2014J,Medium,4.22,Pass
31600,AAA,2014J,Medium,5.11,Pass
46844,AAA,2014J,Medium,4.87,Pass
52765,AAA,2014J,Medium,4.3,Pass
55104,AAA,2014J,Medium,4.49,Pass
58071,AAA,2014J,Medium,3.94,Pass
58316,AAA,2014J,Medium,4.35,Pass
62487,AAA,2014J,Medium,4.66,Pass
63165,AAA,2014J,Medium,4.82,Pass
65002,AAA,2014J,Medium,4.94,Fail
70011,AAA,2014J,Medium,3.62,Pass
75255,AAA,2014J,Medium,4.37,Pass
79403,AAA,2014J,Critical,7.68,Withdrawn
85092,AAA,2014J,Medium,5.06,Pass
85144,AAA,2014J,Medium,4.45,Pass
85302,AAA,2014J,Medium,4.22,Pass
87431,AAA,2014J,Critical,8.22,Withdrawn
94961,AAA,2014J,Medium,4.63,Pass
95755,AAA,2014J,Critical,8.18,Withdrawn
101116,AAA,2014J,Medium,4.1,Pass
107489,AAA,2014J,Medium,3.95,Pass
108872,AAA,2014J,Medium,4.59,Pass
109155,AAA,2014J,Medium,4.19,Pass
111512,AAA,2014J,High,6.38,Fail
117818,AAA,2014J,Medium,4.75,Pass
119902,AAA,2014J,Critical,7.52,Withdrawn
121349,AAA,2014J,Medium,4.41,Pass
124064,AAA,2014J,Medium,3.89,Distinction
125018,AAA,2014J,Medium,4.41,Pass
129955,AAA,2014J,High,7.39,Withdrawn
130034,AAA,2014J,Medium,4.24,Pass
130547,AAA,2014J,Medium,4.71,Pass
130636,AAA,2014J,Medium,5.01,Pass
131390,AAA,2014J,Medium,4.51,Pass
133816,AAA,2014J,Medium,4.25,Pass
133922,AAA,2014J,Medium,4.66,Pass
135335,AAA,2014J,Critical,9.58,Withdrawn
135400,AAA,2014J,Medium,4.97,Pass
135471,AAA,2014J,Medium,3.93,Distinction
139033,AAA,2014J,Medium,4.68,Fail
141377,AAA,2014J,Medium,5.04,Pass
141506,AAA,2014J,Medium,4.9,Fail
146503,AAA,2014J,Medium,4.85,Pass
147756,AAA,2014J,Medium,4.47,Pass
148993,AAA,2014J,Medium,4.15,Pass
149741,AAA,2014J,Medium,4.58,Pass
149962,AAA,2014J,Medium,4.8,Pass
151587,AAA,2014J,Critical,8.07,Withdrawn
152668,AAA,2014J,Critical,7.7,Withdrawn
155984,AAA,2014J,Medium,4.21,Pass
158707,AAA,2014J,High,7.15,Withdrawn
159954,AAA,2014J,Critical,7.73,Withdrawn
164944,AAA,2014J,Medium,4.61,Pass
165226,AAA,2014J,Medium,4.77,Fail
167961,AAA,2014J,Medium,4.18,Pass
174024,AAA,2014J,Medium,4.92,Pass
174094,AAA,2014J,Medium,3.87,Pass
174745,AAA,2014J,Medium,4.65,Pass
175447,AAA,2014J,Medium,4.15,Pass
175772,AAA,2014J,High,7.16,Withdrawn
183057,AAA,2014J,Medium,4.57,Pass
185350,AAA,2014J,Medium,5.0,Fail
188278,AAA,2014J,Medium,4.13,Pass
199636,AAA,2014J,Medium,4.43,Pass
199897,AAA,2014J,Medium,4.38,Pass
200804,AAA,2014J,Medium,4.57,Pass
205494,AAA,2014J,Medium,4.75,Pass
228021,AAA,2014J,Medium,3.82,Distinction
228383,AAA,2014J,Medium,4.43,Pass
232307,AAA,2014J,Medium,4.78,Pass
235068,AAA,2014J,Medium,4.53,Pass
235507,AAA,2014J,Medium,4.57,Pass
236875,AAA,2014J,Medium,5.23,Pass
237274,AAA,2014J,Medium,4.25,Pass
243510,AAA,2014J,Medium,5.2,Fail
244246,AAA,2014J,Medium,4.51,Pass
248581,AAA,2014J,Medium,4.02,Distinction
252073,AAA,2014J,Medium,5.08,Pass
254625,AAA,2014J,Medium,4.25,Distinction
258587,AAA,2014J,Medium,3.66,Distinction
260355,AAA,2014J,Critical,8.14,Withdrawn
260623,AAA,2014J,Medium,4.56,Pass
263251,AAA,2014J,Medium,4.36,Pass
263543,AAA,2014J,Medium,3.99,Pass
263952,AAA,2014J,Medium,4.15,Distinction
266524,AAA,2014J,Medium,5.12,Pass
268733,AAA,2014J,High,5.63,Fail
273346,AAA,2014J,Medium,4.01,Pass
274947,AAA,2014J,Critical,8.12,Withdrawn
275674,AAA,2014J,Critical,8.06,Withdrawn
275792,AAA,2014J,Medium,4.59,Pass
277123,AAA,2014J,Medium,5.13,Fail
277880,AAA,2014J,Critical,7.88,Withdrawn
281077,AAA,2014J,Medium,4.54,Pass
281636,AAA,2014J,Medium,4.12,Pass
285315,AAA,2014J,Medium,4.23,Pass
287040,AAA,2014J,Medium,4.36,Pass
287204,AAA,2014J,Medium,4.6,Pass
287210,AAA,2014J,Medium,3.91,Pass
288994,AAA,2014J,High,6.48,Fail
289449,AAA,2014J,Medium,4.23,Pass
290164,AAA,2014J,Medium,4.15,Pass
292525,AAA,2014J,Medium,4.4,Pass
292775,AAA,2014J,Medium,4.23,Pass
293824,AAA,2014J,Medium,3.8,Pass
294496,AAA,2014J,Medium,4.17,Pass
294655,AAA,2014J,Medium,4.12,Fail
295060,AAA,2014J,Medium,4.42,Fail
295075,AAA,2014J,Medium,4.65,Pass
296424,AAA,2014J,Medium,4.27,Pass
298034,AAA,2014J,Medium,4.35,Fail
298838,AAA,2014J,Medium,4.17,Pass
301967,AAA,2014J,Medium,5.2,Pass
302476,AAA,2014J,Medium,3.99,Distinction
303521,AAA,2014J,Medium,3.76,Pass
303985,AAA,2014J,Medium,4.67,Pass
304465,AAA,2014J,Medium,3.96,Pass
306646,AAA,2014J,Medium,5.04,Pass
309142,AAA,2014J,Medium,4.64,Pass
310412,AAA,2014J,Medium,4.3,Pass
311235,AAA,2014J,Medium,4.71,Pass
311659,AAA,2014J,High,6.34,Fail
313937,AAA,2014J,Low,3.39,Pass
315076,AAA,2014J,Medium,4.65,Pass
315744,AAA,2014J,Medium,3.71,Distinction
323370,AAA,2014J,Medium,4.36,Pass
323805,AAA,2014J,Critical,9.53,Withdrawn
328024,AAA,2014J,Medium,4.66,Pass
328734,AAA,2014J,Critical,9.33,Withdrawn
329659,AAA,2014J,Medium,5.21,Fail
330594,AAA,2014J,Medium,4.66,Pass
331358,AAA,2014J,Medium,3.72,Distinction
332884,AAA,2014J,Medium,4.06,Pass
334441,AAA,2014J,Medium,5.26,Fail
335247,AAA,2014J,Medium,4.55,Pass
335764,AAA,2014J,Medium,4.15,Pass
337748,AAA,2014J,Critical,8.56,Withdrawn
338407,AAA,2014J,Medium,4.65,Pass
341876,AAA,2014J,Critical,7.7,Withdrawn
342007,AAA,2014J,Medium,4.01,Pass
345440,AAA,2014J,Medium,4.58,Pass
345519,AAA,2014J,Medium,4.41,Pass
346118,AAA,2014J,Medium,4.73,Pass
348275,AAA,2014J,Critical,8.02,Withdrawn
348807,AAA,2014J,Medium,4.5,Pass
350156,AAA,2014J,Medium,5.11,Pass
350939,AAA,2014J,Medium,4.38,Pass
351336,AAA,2014J,Medium,4.61,Pass
353665,AAA,2014J,Medium,4.75,Pass
354170,AAA,2014J,Medium,4.97,Fail
356170,AAA,2014J,Medium,4.76,Pass
358182,AAA,2014J,Medium,4.18,Pass
364957,AAA,2014J,Medium,4.58,Pass
369834,AAA,2014J,High,7.34,Withdrawn
371710,AAA,2014J,Medium,4.11,Pass
373872,AAA,2014J,Medium,4.68,Pass
375260,AAA,2014J,Medium,4.37,Pass
375646,AAA,2014J,Medium,4.59,Pass
377546,AAA,2014J,Medium,4.08,Distinction
381642,AAA,2014J,High,7.39,Withdrawn
382095,AAA,2014J,Medium,4.12,Pass
383180,AAA,2014J,Critical,7.65,Withdrawn
383600,AAA,2014J,Medium,4.47,Pass
383723,AAA,2014J,Low,3.35,Pass
384203,AAA,2014J,Medium,3.9,Pass
384725,AAA,2014J,Medium,3.78,Pass
387533,AAA,2014J,Medium,5.05,Fail
387954,AAA,2014J,Critical,9.33,Withdrawn
388147,AAA,2014J,Medium,5.48,Fail
390890,AAA,2014J,Medium,4.84,Pass
391249,AAA,2014J,Medium,3.89,Distinction
396599,AAA,2014J,Medium,4.94,Fail
396655,AAA,2014J,Medium,5.3,Fail
398171,AAA,2014J,Medium,4.35,Pass
398349,AAA,2014J,Medium,3.9,Pass
400147,AAA,2014J,Medium,4.92,Pass
400682,AAA,2014J,Medium,5.01,Pass
401404,AAA,2014J,Medium,4.19,Pass
402204,AAA,2014J,Medium,4.64,Pass
402727,AAA,2014J,Medium,4.59,Pass
402961,AAA,2014J,Medium,4.09,Pass
404356,AAA,2014J,Medium,4.23,Pass
406671,AAA,2014J,Medium,4.45,Pass
406682,AAA,2014J,Medium,3.93,Distinction
409100,AAA,2014J,Medium,4.06,Pass
409703,AAA,2014J,Medium,4.45,Pass
410092,AAA,2014J,Medium,5.0,Pass
411971,AAA,2014J,Medium,4.53,Pass
415969,AAA,2014J,Medium,5.23,Fail
418731,AAA,2014J,Medium,5.31,Fail
421455,AAA,2014J,Medium,4.28,Pass
424577,AAA,2014J,Medium,4.65,Pass
429858,AAA,2014J,Medium,4.54,Distinction
431025,AAA,2014J,Medium,4.94,Fail
439305,AAA,2014J,Medium,4.59,Pass
440319,AAA,2014J,Critical,7.87,Withdrawn
442064,AAA,2014J,Medium,5.01,Pass
442132,AAA,2014J,Medium,4.97,Pass
446108,AAA,2014J,Medium,4.76,Pass
447481,AAA,2014J,Medium,5.0,Pass
468120,AAA,2014J,High,5.51,Fail
468694,AAA,2014J,Critical,7.77,Withdrawn
470588,AAA,2014J,Critical,7.59,Withdrawn
